sample,log2FC,pvalue,FDR
ANGPTL5,-1.3802430523443396,1.5870115188913058e-16,5.0153421316629235e-16
CNGB1,-1.7661487006067942,1.808159046557486e-16,5.692479959267712e-16
R3HDML,2.028539568999599,1.8992418086437143e-16,5.968905152407032e-16
MRGPRX2,-1.7683435382303947,2.0784739002745388e-16,6.516441682173171e-16
RPL23AP32,-1.1650642402830929,2.4553990239533316e-16,7.670435632919598e-16
PGK2,3.276059844492019,3.0316766335392707e-16,9.410915716288427e-16
SV2C,-1.2429559370789691,3.178922542608352e-16,9.85790920666096e-16
ATOH7,-1.1442254841930914,4.0927755809788805e-16,1.262297422916953e-15
SPOCK3,-1.0796469406640028,5.07869653834774e-16,1.5568796410835957e-15
HOXB13,1.6422294863938562,5.809632861874883e-16,1.7752685409553214e-15
CDH7,1.2989287232671916,6.414167246816912e-16,1.9547478050193914e-15
SH3GL3,-1.5611820592357333,6.776435146198652e-16,2.0620436136117366e-15
AFP,-1.0335972387452528,7.816672408825853e-16,2.3726344481883774e-15
CSN3,-3.0099738813839267,8.068011965519149e-16,2.44606965037217e-15
GOLGA9P,-1.2488473777479185,8.075967526222969e-16,2.4476662817155627e-15
SEL1L2,-1.9622074913966294,1.0578270000496292e-15,3.1848536026965595e-15
NOS1,-1.5099874352844629,1.1147473247170406e-15,3.3545620022853843e-15
PMP2,-1.6275945153705607,1.4521400292370892e-15,4.339731563323385e-15
OOEP,-1.6691659623233992,1.6320836127810824e-15,4.865512283566008e-15
C1orf180,1.4367061135610586,1.8022315008253475e-15,5.35608489951409e-15
C6orf103,1.3679171909603811,2.023629706819138e-15,5.9954641199916616e-15
HIST1H2AJ,1.553123256586877,2.1256296524285034e-15,6.2915181403505766e-15
ODAM,-1.704952874722088,2.171331331957053e-15,6.422610373027988e-15
GALR1,-1.6007067257396868,2.18601019095672e-15,6.463673103685338e-15
C1orf194,1.0873533336568686,2.3578152167704313e-15,6.961769730879506e-15
LRRC7,-1.523169955922044,2.3833327439869337e-15,7.0336909758096876e-15
POTEH,1.5483366835739454,2.58711991642608e-15,7.620282174547563e-15
NXNL1,-1.6026672833727376,2.678412786013392e-15,7.881530543776556e-15
KLHL1,3.5341602850864513,3.0708873512771206e-15,9.005858297937397e-15
C17orf93,2.595781011628495,3.4087108528761576e-15,9.962871492438134e-15
HIST1H4K,2.0308585677345548,3.547790359213658e-15,1.0351086377426866e-14
SLC15A1,-1.147115385825433,3.593684478668912e-15,1.0479948504519419e-14
TRPM5,1.6559275710643064,3.692085951001565e-15,1.0758290469998638e-14
SLC22A12,-2.4663757850675467,4.508102444271756e-15,1.3079532800937006e-14
CLEC4M,-1.8649700545091576,5.195271582060238e-15,1.5008653960997066e-14
GGT8P,-1.483194309548432,5.8116596937129e-15,1.673621917491788e-14
MUC2,1.7348621961396766,7.024666538558557e-15,2.014018034357874e-14
VSTM2A,1.405286403509351,7.051576265208354e-15,2.0214148465446877e-14
GPR142,-1.2589728314311985,7.397104190479307e-15,2.117463242322611e-14
RFX6,-1.1944422660794487,7.955779460881312e-15,2.2741685541209566e-14
SELV,-2.12536596256717,9.849783811446383e-15,2.8023697205338932e-14
FAM55B,-1.124368109244744,1.1192147658177014e-14,3.1740370897190474e-14
CCDC60,2.606469699119465,1.1884135142230966e-14,3.3664318704330885e-14
C17orf64,-1.216402788821499,1.218833235864529e-14,3.448845234329554e-14
SLC36A2,-2.1330985415288684,1.2367774469006218e-14,3.4974459943967715e-14
SCG3,-1.0089652948072072,1.3591893987986655e-14,3.835269667699908e-14
ENTHD1,1.036587615290607,1.4182253890198669e-14,3.996896850337302e-14
FLG2,-1.3681511183900117,1.514113115791417e-14,4.258560112291589e-14
NLGN4Y,-1.078934852070267,1.6982993060037415e-14,4.765552993245893e-14
ASPG,-1.1947592674688183,1.7900387965418854e-14,5.019112170895246e-14
SLC22A24,2.9079843351848993,1.9016307940616532e-14,5.323805805029879e-14
ATP4A,-1.9557399117392937,1.9110748485370664e-14,5.349422646151041e-14
CXorf41,2.1218374621081284,2.0054673739169154e-14,5.6033035468011685e-14
C2orf14,1.39346806284136,2.633506924018118e-14,7.313154315469382e-14
PF4V1,-2.278634113633838,2.7965083598683235e-14,7.755155648184506e-14
MAGEA1,2.149845384554916,2.8544497430433946e-14,7.912219989739442e-14
LOC221122,2.094295467209733,2.887755342938854e-14,8.002102375934839e-14
CXorf49B,-2.1716303769594933,2.988608581155871e-14,8.27653156896095e-14
C3orf49,-1.1367307056805278,3.705081695332946e-14,1.020790102923348e-13
CDCP2,-1.2654703393981648,3.713011460742432e-14,1.0226652688741789e-13
TCL1B,1.6390507852809335,3.75319648574569e-14,1.0329518540978046e-13
FAM153A,-1.0637606392879682,3.8079729762899756e-14,1.0478689657960156e-13
CSN1S1,-2.6382609036544884,4.4301709012229634e-14,1.214676922954686e-13
FLJ40504,1.6486921462015864,4.5219815761325694e-14,1.239289831832899e-13
GPR15,-1.0353302618046079,4.6793352618356526e-14,1.2812566150901683e-13
HIST2H3D,1.056152620618828,4.909121862090874e-14,1.342962808170126e-13
SPATA22,-1.1639105679766384,5.665599910679161e-14,1.5434138756972879e-13
TREH,-1.1752108480432422,6.294911350435888e-14,1.7102428554027533e-13
SEPT12,1.17418819637258,7.161703294973232e-14,1.9408141294982543e-13
SAG,1.7092705575699574,9.396142484187284e-14,2.5279039556556476e-13
OVCH1,-1.5328651609383388,9.765408637218849e-14,2.6256976871978537e-13
GPR112,-1.7925979324733015,9.939357844698787e-14,2.6697082904980377e-13
TRPM1,-1.8720414002375985,9.938032333787555e-14,2.6697082904980377e-13
PRMT8,1.1669175849660944,1.0152946090844872e-13,2.7238626041510563e-13
LIPJ,-1.2658174464830547,1.1257752632424632e-13,3.0118293822461134e-13
ZBBX,1.3898195371246342,1.404312464814449e-13,3.7372368124294463e-13
KLK3,-1.3654252723176512,1.4230166062398381e-13,3.7848000121834856e-13
KRT31,1.223526032251733,1.463941108872417e-13,3.888533489684023e-13
OPRK1,-1.274248923555394,1.5483147287931144e-13,4.104860618733041e-13
TUBA4B,1.6590869679166775,1.8466308117077308e-13,4.868803688516197e-13
LIPK,-1.5559071437839997,1.9397588623712557e-13,5.108424561884255e-13
LOC729467,-2.7026670263771972,2.310284544420067e-13,6.057051643681186e-13
FCRL4,1.532992710093068,2.377240236815194e-13,6.229005906254064e-13
CCDC83,1.1012833096008423,3.0452262034856106e-13,7.949555798372088e-13
LOC157381,-1.102167716132217,3.1354414960928804e-13,8.18154265386736e-13
GOLGA8C,-1.363975634454841,3.1433604302083114e-13,8.201030516136147e-13
?|728788,-1.4747942845693383,3.8632806793776395e-13,1.002041866724297e-12
C21orf129,-1.2475483516496462,4.129548923187558e-13,1.069277084619959e-12
HIST1H2BM,1.9357286070379098,4.621982601852072e-13,1.1930508976391558e-12
ACTL8,1.5557464359128854,4.844127658637853e-13,1.2498604644958872e-12
SMR3B,-1.5925539165404714,5.306518570306835e-13,1.3666462582809185e-12
