,pagerank
CD40LG,0.00025916506343929934
NKX2-5,0.00025911950842003116
HIST1H4H,0.00025886018104235876
HIST2H4A,0.00025886018104235876
HIST1H4I,0.0002588601810423587
BMPR1A,0.0002588190044042156
HIST1H2BH,0.00025871674907555525
BLK,0.00025866911711076173
PKLR,0.0002586655544606206
CEBPB,0.0002585924672941007
ADCY7,0.0002585425834946615
KCNAB1,0.00025841818093321725
PRKG2,0.00025837223474669543
PLEC,0.00025833376687331075
SYN1,0.0002582115585868105
CYP2B6,0.00025789764138814874
LUM,0.0002576090297969036
JUNB,0.0002574870116359473
NOTCH2,0.00025732388689296657
PPP2R1B,0.0002572101371693869
YPEL4,0.00025670603346434896
ENPP3,0.0002565802106265023
GNA15,0.0002564085641468262
SELL,0.00025639600427630857
TCEB2,0.0002563509863355467
SH3KBP1,0.00025605921966335
TNNI3,0.00025527109905582566
ITGAL,0.0002551666810798434
UBE2T,0.0002550967726226788
MAP3K5,0.000255032503256056
WDHD1,0.0002550204989118549
RPL11,0.00025480049367080363
GRM5,0.00025459955247576115
DDX58,0.00025436941672202804
MYH11,0.00025410649641258095
NRXN3,0.00025408012017450116
SERPINC1,0.000254029154795912
MYL2,0.00025381683169334746
UHRF1,0.0002536720849111712
MSH2,0.0002531012363440687
HIST1H4C,0.0002529934191695484
DGAT1,0.0002529926775241228
RPL5,0.00025279324567699276
CASC5,0.0002524759414966363
TPM2,0.00025213869281707097
PRKCQ,0.0002520842903334299
DICER1,0.00025186579289443434
MYL3,0.00025168305960685287
KCNH2,0.0002516381990597833
PARK2,0.0002514549801677141
ELN,0.0002510229622581745
NFATC1,0.0002507041027785359
FZD2,0.0002504424051006151
LIPE,0.00025034862384497975
ANK3,0.0002502640627567227
IL6R,0.0002501777133253064
HIST2H3D,0.0002501740423062546
PLAUR,0.0002491002271860847
BMPR2,0.0002490689706143731
WWTR1,0.0002490048106635279
ACADS,0.0002487603382177232
HOXA5,0.0002486205236144341
PDPK1,0.00024856748129503783
FZD5,0.0002483582953587597
RPL23A,0.0002483091051228307
PGR,0.00024830343701969
CACNG4,0.0002482903000270626
KAT2A,0.0002481015445098589
CDH17,0.00024785190906163006
A2M,0.0002475823794824203
GNG3,0.0002474662938854891
SERPINE1,0.00024732297907818134
MYH6,0.0002473050861585282
WNT11,0.00024719810144659094
LAMA5,0.00024712720945280545
DKK1,0.0002471081729673436
VIP,0.00024705919999853395
FZD1,0.0002469711299919489
AKAP5,0.00024690216886511424
BMPR1B,0.00024686065455035625
ADCY9,0.0002468450504071238
ADAMTS3,0.0002467983365913478
S100B,0.000246729410774513
CACNB3,0.00024652693396998984
MUC15,0.0002463209196784881
MUC7,0.0002463209196784881
DEPDC1,0.0002460949353414282
MPO,0.0002460053477768108
LAMA2,0.00024587647449697574
SLC17A7,0.00024585664840429583
GJB2,0.0002457868335437091
ROCK2,0.00024559417910124536
CTGF,0.00024553846162123197
PIK3CG,0.0002455259990301635
KCNAB2,0.0002454746870483674
CD2,0.0002453079262913777
UGT1A6,0.0002451847418938101
TWIST1,0.00024515634471763135
TNNT2,0.00024511574048594455
GMNN,0.00024487962600345327
WRN,0.00024478814298450153
BPTF,0.0002446729305282361
PSMC5,0.00024434205404331647
NF1,0.00024388443110192194
RYR2,0.00024380603154142795
CENPM,0.0002436843411533886
ITGB8,0.00024352636758205728
RAD51C,0.00024345335229052404
FADD,0.00024339029800189357
TPI1,0.00024335059516726398
HSD17B4,0.00024315226212660707
CYP2C9,0.00024315218031856258
EFNB2,0.00024304486088694597
ITPR3,0.00024276491716939425
COL5A1,0.00024271685233716116
GNRH1,0.00024263891031848839
PRIM1,0.00024193753285678475
IL7R,0.00024177034206159843
MMP3,0.0002415274732037475
BIRC3,0.00024122429061636334
KIF18A,0.0002411103705560585
ACTA2,0.00024103638578805973
FCGR3B,0.00024102669177026578
MSTN,0.0002407658428671837
CXCL11,0.0002407394784135957
TRPV1,0.00024060976239416389
CXCL9,0.0002403064919194974
IL2RA,0.00024025086407123897
KCNA1,0.00024008369928157312
TRPC1,0.0002396349514395431
GRIA3,0.0002396300229366528
CNR1,0.00023950064810412058
LMNB1,0.00023929325808836677
SPA17,0.00023928764134678403
MLLT3,0.0002389709643400984
CXCL1,0.00023895288491350148
SHCBP1,0.00023859369761015345
MYO1C,0.00023847700300732474
IRF3,0.00023843650807883732
TPM4,0.00023836100903231784
STX4,0.00023813167151478818
RPS6KB1,0.0002378393278502949
APC,0.00023783378301702108
HNF4A,0.00023778097881890371
DRD2,0.00023744088172202341
AGXT,0.0002374206018071614
ADCY6,0.0002373482694333352
PDZK1,0.00023722410582671655
LAMA4,0.00023694831793290804
TIAM1,0.00023692395948997935
KIF18B,0.00023690186181371992
MX1,0.00023662659597170014
FANCD2,0.0002364874144394685
EPHB2,0.00023640829493906866
KCNQ3,0.00023637043738212036
ISG15,0.00023626736353935418
FAS,0.00023579518652062963
RAD21,0.00023562705581205737
SGOL1,0.00023540588494496914
TUBB2B,0.00023473819211079414
TIMP1,0.00023439630893070962
WNT2B,0.00023437835953761174
GPHN,0.00023432546539201086
LIG1,0.00023432479534840096
B4GALT2,0.00023424767622606612
