drug_chembl_id,rw_mean_HER2,rw_max_HER2
CHEMBL1778,0.0002754201642974,0.0002754201642974
CHEMBL1782,0.0001427180318993,0.0001427180318993
CHEMBL1783,0.0007416083763548,0.0007416083763548
CHEMBL1785,0.0001591521362999,0.0001591521362999
CHEMBL1786,3.6735032889700633e-05,3.6735032889700633e-05
CHEMBL1787,0.0001285266755075,0.0001285266755075
CHEMBL1790,0.0001709381281942,0.0001709381281942
CHEMBL1791,0.0001588004234766,0.0001588004234766
CHEMBL1793,0.0001264503873174,0.0001264503873174
CHEMBL1795,0.0001339709782955,0.0001339709782955
CHEMBL1798,2.9567139885982216e-05,2.9567139885982216e-05
CHEMBL1800,0.0001528408786309,0.0001528408786309
CHEMBL1803,0.000243070139552,0.000243070139552
CHEMBL1804,3.3818312493782465e-05,3.3818312493782465e-05
CHEMBL1806,0.0005417519755648,0.0005417519755648
CHEMBL1807,0.0001335571894612,0.0001335571894612
CHEMBL1808,0.0001191335151568,0.0001191335151568
CHEMBL1811,8.616562792337844e-05,8.616562792337844e-05
CHEMBL1817,0.0002274527961348,0.0002274527961348
CHEMBL1821,1.986668834168125e-05,1.986668834168125e-05
CHEMBL1822,7.808569354211233e-05,7.808569354211233e-05
CHEMBL1824,0.0006545715461374,0.0006545715461374
CHEMBL1825,0.0009084578369859,0.0009084578369859
CHEMBL1827,0.0001393970685133,0.0001393970685133
CHEMBL1832,0.0001251199596846,0.0001251199596846
CHEMBL1833,3.196468059649424e-05,3.196468059649424e-05
CHEMBL1835,2.106819284113221e-05,2.106819284113221e-05
CHEMBL1836,8.8204125471708e-05,8.8204125471708e-05
CHEMBL1838,4.400079240456656e-05,4.400079240456656e-05
CHEMBL1839,0.0001077011568401,0.0001077011568401
CHEMBL1842,0.0001149933174697,0.0001149933174697
CHEMBL1843,0.0001889788458078,0.0001889788458078
CHEMBL1845,0.0001726417879331,0.0001726417879331
CHEMBL1846,0.0003175853106656,0.0003175853106656
CHEMBL1851,0.0002931118872111,0.0002931118872111
CHEMBL1854,0.0001247789871528,0.0001247789871528
CHEMBL1855,7.210372078716152e-05,7.210372078716152e-05
CHEMBL1856,0.0001294633588709,0.0001294633588709
CHEMBL1859,0.0001922454405485,0.0001922454405485
CHEMBL1860,0.0001210495935762,0.0001210495935762
CHEMBL1861,9.380346504455172e-05,9.380346504455172e-05
CHEMBL1864,0.0001196794879704,0.0001196794879704
CHEMBL1867,0.0001055708799252,0.0001055708799252
CHEMBL1868,0.0002777132212371,0.0002777132212371
CHEMBL1869,0.0001111272293128,0.0001111272293128
CHEMBL1871,0.0006156636570421,0.0006156636570421
CHEMBL1874,0.0001546167250712,0.0001546167250712
CHEMBL1875,6.322642245021394e-06,6.322642245021394e-06
CHEMBL1876,0.0001298313151095,0.0001298313151095
CHEMBL1879,0.0001011421482168,0.0001011421482168
CHEMBL1881,6.029541712747704e-05,6.029541712747704e-05
CHEMBL1882,0.0001605621362029,0.0001605621362029
CHEMBL1883,0.0001519895917163,0.0001519895917163
CHEMBL1886,0.0001360860726514,0.0001360860726514
CHEMBL1889,6.828360161853934e-05,6.828360161853934e-05
CHEMBL1892,9.385099401651216e-05,9.385099401651216e-05
CHEMBL1893,0.0001725865315484,0.0001725865315484
CHEMBL1898,6.041345013081533e-05,6.041345013081533e-05
CHEMBL1899,0.0001863380107961,0.0001863380107961
CHEMBL1900,0.0001586234048479,0.0001586234048479
CHEMBL1901,3.918865401763851e-05,3.918865401763851e-05
CHEMBL1903,0.0001293203905658,0.0001293203905658
CHEMBL1904,0.0004617349718125,0.0004617349718125
CHEMBL1905,0.0011637808096138,0.0011637808096138
CHEMBL1907,0.0003061757629489,0.0003061757629489
CHEMBL1910,0.0001137309572665,0.0001137309572665
CHEMBL1911,4.07262690305584e-05,4.07262690305584e-05
CHEMBL1912,2.694791665273756e-05,2.694791665273756e-05
CHEMBL1913,0.0004642182614536,0.0004642182614536
CHEMBL1914,0.0001043350781603,0.0001043350781603
CHEMBL1916,3.584830766387512e-05,3.584830766387512e-05
CHEMBL1919,0.0001858391190516,0.0001858391190516
CHEMBL1920,0.000132888102792,0.000132888102792
CHEMBL1925,4.930239978004374e-05,4.930239978004374e-05
CHEMBL1927,0.000208313278571,0.000208313278571
CHEMBL1929,0.0001307356979108,0.0001307356979108
CHEMBL1935,0.0002039717730835,0.0002039717730835
CHEMBL1936,0.0005364384312015,0.0005364384312015
CHEMBL1940,0.0005162151400386,0.0005162151400386
CHEMBL1941,2.4051258180549253e-05,2.4051258180549253e-05
CHEMBL1942,5.55293908779364e-05,5.55293908779364e-05
CHEMBL1944,0.0002105583900017,0.0002105583900017
CHEMBL1947,0.0001689259931565,0.0001689259931565
CHEMBL1950,0.0002644317634198,0.0002644317634198
CHEMBL1951,0.0002356081356865,0.0002356081356865
CHEMBL1952,0.0004300181833795,0.0004300181833795
CHEMBL1957,0.0004465801250083,0.0004465801250083
CHEMBL1958,0.0001736077588661,0.0001736077588661
CHEMBL1959,9.839031069125706e-05,9.839031069125706e-05
CHEMBL1962,0.0001880239416372,0.0001880239416372
CHEMBL1963,0.0001375878003181,0.0001375878003181
CHEMBL1966,2.524680849467783e-05,2.524680849467783e-05
CHEMBL1968,0.0001092514671693,0.0001092514671693
CHEMBL1969,0.0002859849317241,0.0002859849317241
CHEMBL1970,0.0001976712476714,0.0001976712476714
CHEMBL1971,6.482763207084141e-05,6.482763207084141e-05
CHEMBL1972,0.0004283291258924,0.0004283291258924
CHEMBL1975,0.0002505842484664,0.0002505842484664
CHEMBL1976,0.0001569418370675,0.0001569418370675
CHEMBL1977,0.0001468466344238,0.0001468466344238
CHEMBL1978,0.0002143708340217,0.0002143708340217
CHEMBL1981,0.0002121115915753,0.0002121115915753
CHEMBL1983,6.0244835524078135e-05,6.0244835524078135e-05
CHEMBL1985,2.7833959322390595e-05,2.7833959322390595e-05
CHEMBL1987,5.499137743090344e-05,5.499137743090344e-05
CHEMBL1988,0.0001395522613717,0.0001395522613717
CHEMBL1989,4.413089384738502e-05,4.413089384738502e-05
CHEMBL1991,0.000484376113888,0.000484376113888
CHEMBL1992,0.0002703307561497,0.0002703307561497
CHEMBL1993,0.0002147006719424,0.0002147006719424
CHEMBL1994,0.000108923896118,0.000108923896118
