drug,luma_pathway_overlap_jaccard,n_shared_pathways_luma
CHEMBL4589,0.0015015015015015015,4
CHEMBL4605,0.0015015015015015015,4
CHEMBL4607,0.002627627627627628,7
CHEMBL4608,0.0037537537537537537,10
CHEMBL4617,0.0015015015015015015,4
CHEMBL4633,0.0011261261261261261,3
CHEMBL4708,0.0007507507507507507,2
CHEMBL4712,0.004129129129129129,11
CHEMBL4714,0.003003003003003003,8
CHEMBL4715,0.005255255255255256,14
CHEMBL4716,0.0015015015015015015,4
CHEMBL4744,0.007132132132132132,19
CHEMBL4761,0.006756756756756757,18
CHEMBL4763,0.022147147147147148,59
CHEMBL4770,0.0015015015015015015,4
CHEMBL4777,0.002627627627627628,7
CHEMBL4790,0.0045045045045045045,12
CHEMBL4794,0.0015015015015015015,4
CHEMBL4805,0.006756756756756757,18
CHEMBL4808,0.003003003003003003,8
CHEMBL4811,0.0022522522522522522,6
CHEMBL4812,0.0011261261261261261,3
CHEMBL4813,0.00487987987987988,13
CHEMBL4815,0.003003003003003003,8
CHEMBL4816,0.030405405405405407,81
CHEMBL4820,0.003003003003003003,8
CHEMBL4829,0.0045045045045045045,12
CHEMBL4832,0.007882882882882882,21
CHEMBL4833,0.0015015015015015015,4
CHEMBL4834,0.0033783783783783786,9
CHEMBL4835,0.0015015015015015015,4
CHEMBL4863,0.0018768768768768769,5
CHEMBL4865,0.00563063063063063,15
CHEMBL4866,0.0037537537537537537,10
CHEMBL4867,0.0033783783783783786,9
CHEMBL4868,0.0011261261261261261,3
CHEMBL4869,0.002627627627627628,7
CHEMBL4872,0.0015015015015015015,4
CHEMBL4873,0.0015015015015015015,4
CHEMBL4876,0.0033783783783783786,9
CHEMBL4878,0.005255255255255256,14
CHEMBL4880,0.0018768768768768769,5
CHEMBL4881,0.0022522522522522522,6
CHEMBL4883,0.0033783783783783786,9
CHEMBL4892,0.0033783783783783786,9
CHEMBL4894,0.002627627627627628,7
CHEMBL4924,0.0045045045045045045,12
CHEMBL4925,0.0011261261261261261,3
CHEMBL4928,0.01951951951951952,52
CHEMBL4939,0.0015015015015015015,4
CHEMBL4940,0.0011261261261261261,3
CHEMBL4941,0.0037537537537537537,10
CHEMBL4942,0.0015015015015015015,4
CHEMBL4945,0.0015015015015015015,4
CHEMBL4947,0.0011261261261261261,3
CHEMBL4949,0.004129129129129129,11
CHEMBL4977,0.026276276276276277,70
CHEMBL4983,0.004129129129129129,11
CHEMBL4985,0.0015015015015015015,4
CHEMBL5100,0.0011261261261261261,3
CHEMBL5103,0.006756756756756757,18
CHEMBL5113,0.003003003003003003,8
CHEMBL5135,0.002627627627627628,7
CHEMBL5136,0.005255255255255256,14
CHEMBL5444,0.009009009009009009,24
