drug,n_pathways_her2,mean_pathway_score_her2,max_pathway_score_her2,sum_pathway_score_her2,her2_pathway_overlap_jaccard,n_shared_pathways_her2,her2_pathway_enrichment_similarity,n_families_her2,n_targets_with_family_her2
CHEMBL1882,3,0.0004943842959022,0.000500467121225,0.0014831528877067,0.0016853932584269,3,0.0177405965529678,1,1
CHEMBL1883,3,0.0004943842959022,0.000500467121225,0.0014831528877067,0.0016853932584269,3,0.0177405965529678,1,1
CHEMBL1886,14,0.0005187921963926,0.0008108424355144,0.0072630907494975,0.0078784468204839,14,0.0632121500599429,1,1
CHEMBL1889,9,0.0005112831813621,0.0008108424355144,0.0046015486322596,0.0050647158131682,9,0.0476669040812491,1,1
CHEMBL1892,3,0.0005266405306448,0.0007670718705019,0.0015799215919345,0.0016910935738444,3,0.0327324459642435,1,1
CHEMBL1893,6,0.0004571781953768,0.0004950294023541,0.0027430691722611,0.0033821871476888,6,0.0401850660751585,1,1
CHEMBL1898,7,0.0004417815109638,0.0005267415572554,0.0030924705767472,0.0039436619718309,7,0.0392341398057247,1,1
CHEMBL1899,3,0.0004943842959022,0.000500467121225,0.0014831528877067,0.0016910935738444,3,0.0307276145863216,1,1
CHEMBL1900,5,0.0004754919991073,0.0005106120661872,0.0023774599955367,0.0028121484814398,5,0.0284377685882761,1,1
CHEMBL1901,7,0.0004700817472259,0.000591415289828,0.0032905722305815,0.0039458850056369,7,0.044629904845649,1,1
CHEMBL1903,6,0.0004479944920877,0.0004950294023541,0.0026879669525267,0.0033783783783783,6,0.0341022068250474,1,1
CHEMBL1904,32,0.0005638635711007,0.0008762298186756,0.0180436342752239,0.0180383314543404,32,0.1144596936637884,1,1
CHEMBL1905,73,0.0005934774258678,0.0011637808096138,0.0433238520883565,0.0411499436302142,73,0.1819571755996213,1,1
CHEMBL1907,6,0.0004605645909572,0.0005641791011353,0.0027633875457436,0.0033821871476888,6,0.0404827236002384,1,1
CHEMBL1910,5,0.00047999376816,0.0005001339661636,0.0023999688408,0.0028089887640449,5,0.025966463993362,1,1
CHEMBL1911,4,0.0004693494716731,0.0004950294023541,0.0018773978866926,0.0022535211267605,4,0.030128317198468,1,1
CHEMBL1912,3,0.0004370185785079,0.000513848015323,0.0013110557355239,0.0016910935738444,3,0.0271621460446053,1,1
CHEMBL1913,15,0.0005938987110909,0.0007539562719295,0.0089084806663639,0.008455467869222,15,0.0825394488981095,1,1
CHEMBL1914,10,0.0004914883447234,0.0006371887289965,0.004914883447234,0.0056274620146314,10,0.0489153426099763,1,1
CHEMBL1916,17,0.000467258466074,0.000645716654579,0.0079433939232584,0.009572072072072,17,0.0653932395140308,1,1
CHEMBL1919,5,0.0005276461567067,0.0006094101430068,0.0026382307835335,0.0028169014084507,5,0.0386492179744869,1,1
CHEMBL1920,7,0.0005376888263197,0.0008384884579006,0.0037638217842384,0.0039458850056369,7,0.0510485703749047,1,1
CHEMBL1925,7,0.0004752676931828,0.0005393420828279,0.0033268738522799,0.0039458850056369,7,0.0451222623472048,1,1
CHEMBL1927,25,0.0006202867039873,0.0013523210653637,0.0155071675996826,0.0140765765765765,25,0.1070912902906727,1,1
CHEMBL1929,7,0.000454271051857,0.0005375849566791,0.0031798973629995,0.0039414414414414,7,0.0380360491925082,1,1
CHEMBL1935,9,0.0004785477017304,0.000722902125727,0.0043069293155737,0.0050618672665916,9,0.0428646834314648,1,1
CHEMBL1936,42,0.000593571426166,0.0008750483985329,0.024929999898972,0.0236753100338218,42,0.1380388028236836,1,1
CHEMBL1940,13,0.0004915210288524,0.0007276162350441,0.0063897733750814,0.0073280721533258,13,0.0635941741442735,1,1
CHEMBL1941,7,0.0004527179455859,0.0005393420828279,0.0031690256191016,0.0039436619718309,7,0.0402053927764551,1,1
CHEMBL1942,12,0.0004659724860568,0.000645716654579,0.0055916698326824,0.0067605633802816,12,0.0556510543055607,1,1
CHEMBL1944,14,0.0005242033179733,0.0008515685639294,0.0073388464516268,0.0078917700112739,14,0.0703829289647358,1,1
CHEMBL1947,9,0.0005450588025454,0.0006011135964601,0.0049055292229094,0.0050732807215332,9,0.0586770356203764,1,1
CHEMBL1950,7,0.0004804943736102,0.0005446992870151,0.0033634606152715,0.0039436619718309,7,0.04267218740992,1,1
CHEMBL1951,13,0.0004841368027716,0.0005706336189103,0.0062937784360319,0.007286995515695,13,0.0470924282380456,1,1
CHEMBL1952,8,0.0005182943408041,0.0005797088551034,0.0041463547264334,0.0045095828635851,8,0.0526047562891067,0,0
CHEMBL1957,14,0.0006119656609055,0.0007570550520603,0.0085675192526777,0.0078917700112739,14,0.0821664689321237,1,1
CHEMBL1958,6,0.0004670567256626,0.0005106120661872,0.0028023403539757,0.0033802816901408,6,0.0380080346453793,1,1
CHEMBL1959,11,0.0005487006554615,0.0006710660026337,0.0060357072100774,0.0062006764374295,11,0.0653033369769506,1,1
CHEMBL1962,7,0.0005376888263197,0.0008384884579006,0.0037638217842384,0.0039458850056369,7,0.0510485703749047,1,1
CHEMBL1963,6,0.0004743437398784,0.0005393420828279,0.0028460624392705,0.0033802816901408,6,0.0386010356098353,1,1
CHEMBL1966,2,0.0004888382773465,0.0004949681406336,0.0009776765546931,0.0011261261261261,2,0.0175415819837621,1,1
CHEMBL1968,3,0.0004296036455926,0.0004827084140595,0.0012888109367779,0.0016910935738444,3,0.0267012835077158,1,1
CHEMBL1969,3,0.0006726870589792,0.0007682808923763,0.0020180611769378,0.0016901408450704,3,0.0362082791221402,1,1
CHEMBL1970,7,0.0004911993775116,0.000626279079074,0.0034383956425815,0.0039370078740157,7,0.0372017232599819,1,1
CHEMBL1971,11,0.0005318583438595,0.0008108424355144,0.0058504417824546,0.0061936936936936,11,0.0582264802982327,1,1
CHEMBL1972,17,0.0004980957257358,0.0005740803409001,0.0084676273375087,0.0095828635851183,17,0.0736954759855259,1,1
CHEMBL1975,10,0.000572854478271,0.0006963034958874,0.0057285447827109,0.0056369785794813,10,0.0650051650161912,1,1
CHEMBL1976,4,0.0005460154342204,0.0005927927552194,0.0021840617368818,0.0022547914317925,4,0.0391866797165208,1,1
CHEMBL1977,13,0.0005085725747255,0.0006011135964601,0.0066114434714321,0.0073280721533258,13,0.0658003442042133,1,1
CHEMBL1978,10,0.0004482572153197,0.0005106120661872,0.004482572153197,0.0056274620146314,10,0.0446127675257403,1,1
CHEMBL1981,10,0.000591176461383,0.0007589170980432,0.0059117646138302,0.0056338028169014,10,0.0639623399989997,1,1
CHEMBL1983,7,0.0004417815109638,0.0005267415572554,0.0030924705767472,0.0039436619718309,7,0.0392341398057247,1,1
CHEMBL1985,11,0.0004779554633702,0.000591415289828,0.0052575100970724,0.0062006764374295,11,0.0568836329495223,1,1
