reactome_id,pathway_name,luma_pathway_score
R-HSA-5668914,Diseases of metabolism,0.009989154982941499
R-HSA-5654696,Downstream signaling of activated FGFR2,0.0099819606477955
R-HSA-5693567,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),0.0099672320500596
R-HSA-1433559,Regulation of KIT signaling,0.0099423130447989
R-HSA-187687,Signalling to ERKs,0.0099348964302387
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),0.0098791725479069
R-HSA-5654708,Downstream signaling of activated FGFR3,0.009857344930706599
R-HSA-9703465,Signaling by FLT3 fusion proteins,0.009814737349084
R-HSA-5654716,Downstream signaling of activated FGFR4,0.0097759299232968
R-HSA-216083,Integrin cell surface interactions,0.0097680777647298
R-HSA-912526,Interleukin receptor SHC signaling,0.009759326668566
R-HSA-877300,Interferon gamma signaling,0.009737169770406
R-HSA-69615,G1/S DNA Damage Checkpoints,0.009721381659317501
R-HSA-9734779,Developmental Cell Lineages of the Integumentary System,0.00970323454606
R-HSA-109581,Apoptosis,0.0096866596973259
R-HSA-5621575,CD209 (DC-SIGN) signaling,0.0095584122893101
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.0095506530173185
R-HSA-9673767,"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",0.0094911228330253
R-HSA-9673770,Signaling by PDGFRA extracellular domain mutants,0.0094911228330253
R-HSA-8864260,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,0.0094377418507178
R-HSA-202424,Downstream TCR signaling,0.0094178187639502
R-HSA-5673000,RAF activation,0.0094081123232241
R-HSA-397014,Muscle contraction,0.0094050932772035
R-HSA-210993,Tie2 Signaling,0.009380204650291199
R-HSA-1963640,GRB2 events in ERBB2 signaling,0.0093754295024791
R-HSA-9645723,Diseases of programmed cell death,0.0093193783154042
R-HSA-68882,Mitotic Anaphase,0.0092833012669298
R-HSA-2555396,Mitotic Metaphase and Anaphase,0.0092833012669298
R-HSA-376176,Signaling by ROBO receptors,0.0092537507304654
R-HSA-9917777,Epigenetic regulation by WDR5-containing histone modifying complexes,0.0091975223363798
R-HSA-167044,Signalling to RAS,0.0091760328618878
R-HSA-375276,Peptide ligand-binding receptors,0.0091564188622865
R-HSA-9012852,Signaling by NOTCH3,0.0091476503460997
R-HSA-9918481,Dengue Virus-Host Interactions,0.0091294064584227
R-HSA-9833110,RSV-host interactions,0.0091017884165824
R-HSA-68877,Mitotic Prometaphase,0.0090864009259098
R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,0.0089997420879265
R-HSA-5685942,HDR through Homologous Recombination (HRR),0.0089595144306357
R-HSA-1912422,Pre-NOTCH Expression and Processing,0.0088959181761249
R-HSA-1912408,Pre-NOTCH Transcription and Translation,0.0088959181761249
R-HSA-9909396,Circadian clock,0.0088755003172728
R-HSA-180292,GAB1 signalosome,0.0088682040782077
R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,0.0088444146358182
R-HSA-5655253,Signaling by FGFR2 in disease,0.0088378422194231
R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,0.0088147719666928
R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis,0.008784173367942301
R-HSA-5619507,Activation of HOX genes during differentiation,0.008784173367942301
R-HSA-1989781,PPARA activates gene expression,0.0087495487888252
R-HSA-400206,Regulation of lipid metabolism by PPARalpha,0.0087495487888252
R-HSA-5655332,Signaling by FGFR3 in disease,0.0087132265023342
R-HSA-9616222,Transcriptional regulation of granulopoiesis,0.0086671539671547
R-HSA-1980143,Signaling by NOTCH1,0.0086603666585101
R-HSA-3928662,EPHB-mediated forward signaling,0.0086339408342825
R-HSA-162906,HIV Infection,0.008621592501774999
R-HSA-9705462,Inactivation of CSF3 (G-CSF) signaling,0.008608455143218
R-HSA-9759194,Nuclear events mediated by NFE2L2,0.008597402651579
R-HSA-6804757,Regulation of TP53 Degradation,0.0085973490133384
R-HSA-6806003,Regulation of TP53 Expression and Degradation,0.0085973490133384
R-HSA-9818564,Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,0.0085970086676039
R-HSA-9851695,Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes,0.0085970086676039
R-HSA-9841922,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis,0.0085970086676039
R-HSA-210990,PECAM1 interactions,0.0085891206753236
R-HSA-3000178,ECM proteoglycans,0.008516315137181001
R-HSA-1169410,Antimicrobial mechanism of IFN-stimulated genes,0.0084996824882749
R-HSA-9924644,Developmental Lineages of the Mammary Gland,0.0084867037538449
R-HSA-9705671,SARS-CoV-2 activates/modulates innate and adaptive immune responses,0.0084758053548546
R-HSA-9678108,SARS-CoV-1 Infection,0.0084722783210591
R-HSA-1852241,Organelle biogenesis and maintenance,0.0084682875921035
R-HSA-5687128,MAPK6/MAPK4 signaling,0.008440992954878001
R-HSA-5663220,RHO GTPases Activate Formins,0.0084402942253743
R-HSA-8986944,Transcriptional Regulation by MECP2,0.0084122687979693
R-HSA-389513,Co-inhibition by CTLA4,0.0084076313000064
R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,0.0083833831533867
R-HSA-9013149,RAC1 GTPase cycle,0.0083585210404604
R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,0.0083458887034593
R-HSA-69563,p53-Dependent G1 DNA Damage Response,0.0082797139612645
R-HSA-69580,p53-Dependent G1/S DNA damage checkpoint,0.0082797139612645
R-HSA-9664417,Leishmania phagocytosis,0.0082677546655856
R-HSA-9664422,FCGR3A-mediated phagocytosis,0.0082677546655856
R-HSA-9664407,Parasite infection,0.0082677546655856
R-HSA-8863795,Downregulation of ERBB2 signaling,0.0082208031824791
R-HSA-9620244,Long-term potentiation,0.0082187357516691
R-HSA-453276,Regulation of mitotic cell cycle,0.0082026358488398
R-HSA-174143,APC/C-mediated degradation of cell cycle proteins,0.0082026358488398
R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription,0.0081957287124682
R-HSA-3000170,Syndecan interactions,0.0080705315288519
R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,0.0080301795561868
R-HSA-5655291,Signaling by FGFR4 in disease,0.0080232979424923
R-HSA-442982,Ras activation upon Ca2+ influx through NMDA receptor,0.0079746533717757
R-HSA-442742,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,0.0079746533717757
R-HSA-389357,CD28 dependent PI3K/Akt signaling,0.0079663666863514
R-HSA-9860927,"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",0.0079619670408989
R-HSA-109704,PI3K Cascade,0.0078651244498408
R-HSA-1168372,Downstream signaling events of B Cell Receptor (BCR),0.0078574032108984
R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),0.0078431346832577
R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,0.0078303105425195
R-HSA-5607764,CLEC7A (Dectin-1) signaling,0.0078102527179678
R-HSA-9839373,Signaling by TGFBR3,0.0077781425537357
R-HSA-5693565,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,0.0077530854166086
R-HSA-5693606,DNA Double Strand Break Response,0.0077530854166086
R-HSA-9707616,Heme signaling,0.007739262503777
R-HSA-9856649,Transcriptional and post-translational regulation of MITF-M expression and activity,0.0077265026654973
R-HSA-8943724,Regulation of PTEN gene transcription,0.0076892647706944
R-HSA-71387,Metabolism of carbohydrates and carbohydrate derivatives,0.0076810948872413
R-HSA-9020702,Interleukin-1 signaling,0.0076796200577681
R-HSA-9612973,Autophagy,0.0076469732873597
R-HSA-2173789,TGF-beta receptor signaling activates SMADs,0.0076298472124451
R-HSA-73887,Death Receptor Signaling,0.0076044277782361
R-HSA-373755,Semaphorin interactions,0.0076006605157459
R-HSA-6804760,Regulation of TP53 Activity through Methylation,0.007571764283406401
R-HSA-9027284,Erythropoietin activates RAS,0.0075535578744933
R-HSA-180336,SHC1 events in EGFR signaling,0.0075433782782447
R-HSA-179812,GRB2 events in EGFR signaling,0.0075433782782447
R-HSA-983169,Class I MHC mediated antigen processing & presentation,0.0075134149644944
R-HSA-2179392,EGFR Transactivation by Gastrin,0.0074856219817194
R-HSA-881907,Gastrin-CREB signalling pathway via PKC and MAPK,0.0074856219817194
R-HSA-1474165,Reproduction,0.0074585257303031
R-HSA-1963642,PI3K events in ERBB2 signaling,0.0074572337895469
R-HSA-112040,G-protein mediated events,0.0074449940481108
R-HSA-9013694,Signaling by NOTCH4,0.0074434121572035
R-HSA-2644602,Signaling by NOTCH1 PEST Domain Mutants in Cancer,0.0074326795742503
R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,0.0074326795742503
R-HSA-2894858,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,0.0074326795742503
R-HSA-2644603,Signaling by NOTCH1 in Cancer,0.0074326795742503
R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,0.0074326795742503
R-HSA-1251985,Nuclear signaling by ERBB4,0.0074012853090192
R-HSA-6783783,Interleukin-10 signaling,0.0073976840353065
R-HSA-9692914,SARS-CoV-1-host interactions,0.0073802936832765
R-HSA-5654693,FRS-mediated FGFR1 signaling,0.0073617607350319
R-HSA-8957275,Post-translational protein phosphorylation,0.0073355525705842
R-HSA-8941858,Regulation of RUNX3 expression and activity,0.0073279900825007
R-HSA-1266695,Interleukin-7 signaling,0.0073256769371369
R-HSA-5654700,FRS-mediated FGFR2 signaling,0.0073237862151096
R-HSA-171007,p38MAPK events,0.0073102500179869
R-HSA-3781865,Diseases of glycosylation,0.007265536737992
R-HSA-909733,Interferon alpha/beta signaling,0.007262731559351
R-HSA-5689896,Ovarian tumor domain proteases,0.007253982243713
R-HSA-5654726,Negative regulation of FGFR1 signaling,0.0072332084268762
R-HSA-2187338,Visual phototransduction,0.0072148041457287
R-HSA-1632852,Macroautophagy,0.0072093040272277
R-HSA-9663891,Selective autophagy,0.0072093040272277
R-HSA-5654706,FRS-mediated FGFR3 signaling,0.007199170498020701
R-HSA-5654727,Negative regulation of FGFR2 signaling,0.0071952339069539
R-HSA-9634285,Constitutive Signaling by Overexpressed ERBB2,0.0071340971249716
R-HSA-5654712,FRS-mediated FGFR4 signaling,0.0071177554906109
R-HSA-5693607,Processing of DNA double-strand break ends,0.0071143229512588
R-HSA-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,0.0071134728484773
R-HSA-9028731,Activated NTRK2 signals through FRS2 and FRS3,0.0070858477089127
R-HSA-5654732,Negative regulation of FGFR3 signaling,0.007070618189865
R-HSA-9013404,RAC2 GTPase cycle,0.0070408256671777
R-HSA-2500257,Resolution of Sister Chromatid Cohesion,0.0070257750265845
R-HSA-196854,Metabolism of vitamins and cofactors,0.0070200975078678
R-HSA-450294,MAP kinase activation,0.0070137849304376
R-HSA-448424,Interleukin-17 signaling,0.0070137849304376
R-HSA-5654733,Negative regulation of FGFR4 signaling,0.0069892031824552
R-HSA-162909,Host Interactions of HIV factors,0.0069876451463701
R-HSA-76009,Platelet Aggregation (Plug Formation),0.0069527689153691995
R-HSA-8853884,Transcriptional Regulation by VENTX,0.006917402846102099
R-HSA-5358351,Signaling by Hedgehog,0.0069049571039247
R-HSA-69202,Cyclin E associated events during G1/S transition ,0.006873767554025
R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry,0.006873767554025
R-HSA-5218859,Regulated Necrosis,0.0068301674984317
R-HSA-6804114,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,0.0068289525403446
