gene,log2FC,pvalue,FDR
MCCD1,-1.4440416794886968,4.376891218330707e-18,1.5280504573700396e-17
NMUR1,-1.9073608060125449,4.720530514187819e-18,1.646126761489672e-17
C2orf55,-1.0561734051367013,4.729152957076355e-18,1.6488176839237865e-17
PAK3,-1.791262711563499,4.869046167429229e-18,1.6962918159945312e-17
LIN28B,1.999096218487395,4.968416553252592e-18,1.7302484507146917e-17
NPW,1.8591267960705413,5.047271816192579e-18,1.7570374616590842e-17
KCNG3,1.5726474967451771,5.178760323701804e-18,1.8010885397849434e-17
CSAG3,2.597616504911824,5.191954336242358e-18,1.8053322785600695e-17
SPON1,-1.712467220972897,5.3106323638060055e-18,1.8455410637334998e-17
DMRTA2,1.780736264646703,5.346328763495855e-18,1.8575915724740414e-17
SEMA3A,-1.7288677831696058,5.3858809019996464e-18,1.8709769095248006e-17
SEC16B,-1.0915099479228312,5.534705756255926e-18,1.9215763662240438e-17
PIP5K1B,-1.836201313764942,5.543827385098496e-18,1.9243762374322637e-17
ZNF516,-1.3448187004379202,5.6390164244410446e-18,1.9570451091344204e-17
ZNF502,-1.1350239850869928,5.723871450776654e-18,1.984602514637856e-17
CKM,1.4079461593087943,5.7480484887185356e-18,1.9926057253883738e-17
GALNTL6,-1.0332892531660551,5.753454473122014e-18,1.9940999957014475e-17
IL1RL1,-1.7388300923186182,6.0827957973145496e-18,2.1046404086393603e-17
PCDHB9,1.0632609421233292,6.135158372640564e-18,2.1215480216028912e-17
ATP8A2,-1.5222712924606459,6.288416978110631e-18,2.1728939683475288e-17
FILIP1,-1.2804692863060723,6.3921743164428525e-18,2.207489073841951e-17
PCDHB19P,-1.0457731506687185,6.510138229277031e-18,2.245670763455179e-17
LRRC26,-2.1404054207598535,6.70098429114706e-18,2.3097522638089363e-17
PDZRN3,-1.0641941117291989,6.746447939079118e-18,2.324982806419106e-17
PCDHGB5,-2.1277163688010416,6.8793250698321546e-18,2.368981351610948e-17
ARHGAP22,1.145909989347854,6.9353870385983766e-18,2.3873837039259884e-17
TPD52,1.1306565333175502,6.98509356342967e-18,2.4035852199453738e-17
C11orf66,-1.0790935140253275,7.042029526294138e-18,2.4222612144204873e-17
CELSR3,1.3912539590484094,7.101358894005969e-18,2.442207367232017e-17
DHDH,1.538407030417801,7.150374648356323e-18,2.4581354055529773e-17
psiTPTE22,-2.0497175050301824,7.422199635894883e-18,2.549175471173482e-17
C15orf59,-1.5356956089478042,7.999893288516356e-18,2.7449963719295612e-17
IQCH,-1.0584930879394037,8.067071351416973e-18,2.7670039534547424e-17
MOCOS,1.0807354538998695,8.101819134169664e-18,2.777875564123006e-17
TRIM15,1.4942025624334239,8.274262087754515e-18,2.8348652886014573e-17
NUDT10,-1.4913014676293046,8.277162891290988e-18,2.835325481937709e-17
MC1R,1.0338088412829913,8.317544593849282e-18,2.8480862347975633e-17
FAM7A3,-1.180940933838325,8.369025653101348e-18,2.865175361357981e-17
ABCC3,-1.4623982364776902,8.376528563517508e-18,2.867204765733531e-17
ZDHHC2,-1.3499356965321345,8.559135443190821e-18,2.928057554452218e-17
KIAA1211,1.8173084566220847,8.83555975087986e-18,3.020351063760865e-17
SLC18A2,-1.7164967984376855,8.895587448480214e-18,3.040300006096233e-17
LARP6,-1.0117662504438396,9.011073802885073e-18,3.079192349050441e-17
NUDT7,-1.206628967925198,9.306270384335089e-18,3.178871079115249e-17
RGS6,-1.762017428097998,9.37920124598658e-18,3.2025811345093554e-17
HOXB3,-1.5206900935021874,9.654684508822835e-18,3.292323381680443e-17
ABCA1,-1.11391683631199,9.662994614746585e-18,3.2945400069719435e-17
CEBPA,-1.641836880104151,9.860518099329063e-18,3.358738977583962e-17
PROKR1,-1.5137565333175524,1.0082667386382284e-17,3.433123726792307e-17
PHLDA3,-1.2342979701739782,1.0321376845242107e-17,3.5137464506067344e-17
IGFBPL1,1.778198058941887,1.0640651611898438e-17,3.6197305417938193e-17
TRIML2,1.4525473487986742,1.0709612096494607e-17,3.642508762938926e-17
MCAM,-1.1782522842939986,1.0787599873684738e-17,3.667663065010894e-17
CBX6,-1.054055225470469,1.0835331441930727e-17,3.6825156504381075e-17
SEMA7A,1.3215014498757265,1.1111880665455695e-17,3.774390068171114e-17
RRN3P1,-1.2215768670848624,1.1798727761231928e-17,4.002464432309072e-17
CYP4F11,-2.4995721801396624,1.1820336240549611e-17,4.009047523508935e-17
C2orf70,1.6488175997159427,1.2063499077954909e-17,4.088472793074161e-17
CXorf49B,2.6369735234939036,1.2153264197965928e-17,4.1173621476935376e-17
NRG2,-1.8677765711918575,1.2380134679719211e-17,4.191102688765646e-17
DLX6AS,1.812563551899633,1.2627342372576864e-17,4.272407308699194e-17
ZNF737,-1.2076717481358719,1.2656521232409745e-17,4.281484036304675e-17
STAT1,1.1262469227127472,1.3241964533189778e-17,4.473709732695871e-17
HOXC11,2.3132834714167347,1.3261129518420615e-17,4.479353138315281e-17
MACROD2,-1.1594144099893464,1.3298040039227631e-17,4.4901543838631154e-17
TMEM132B,-1.3741962658302769,1.3957182203398526e-17,4.7092231260141494e-17
TPK1,-1.0042577109717117,1.4430287017885573e-17,4.8616419505195464e-17
CXCR4,1.2295312107941747,1.4835106443425207e-17,4.995254209945783e-17
GPLD1,-1.8414987750029574,1.488397214956365e-17,5.010781302728077e-17
ANKFN1,-1.524946757012664,1.5008185001005982e-17,5.0507301085840615e-17
SLCO2A1,-1.2563688306308443,1.5369309591029875e-17,5.169392876672521e-17
IL32,1.496247035152086,1.56390098051285e-17,5.257191052313095e-17
GSPT2,-1.3428228902828732,1.617495895556169e-17,5.4333415365951176e-17
CD24,1.5078885193514058,1.6665129974095792e-17,5.593866142697136e-17
HEATR4,-1.0951480471061656,1.680027499839987e-17,5.637150337251112e-17
NOTUM,2.116618966741626,1.8526509834865693e-17,6.208358956628502e-17
IGSF21,-1.6454351757604453,1.925986383036393e-17,6.448175488396443e-17
ADRA1D,-1.048603213398035,1.9542139398764576e-17,6.541477813087745e-17
HIST1H2AD,1.1925295774647884,1.9757701342898424e-17,6.612418414134584e-17
AADAC,-2.7291093975618415,2.0408755387323772e-17,6.827799564702346e-17
C4orf48,1.5505337258847205,2.04930029740485e-17,6.854724974946801e-17
SNAI2,-1.1269326074091595,2.0521316175321794e-17,6.86293438066108e-17
FBN2,2.291024511776542,2.1390288410062445e-17,7.149603744553189e-17
CXorf30,1.8142284116463483,2.149477939407018e-17,7.181891874270549e-17
SIX2,2.005600520771689,2.1854571569944776e-17,7.298087805681615e-17
EGFL8,-1.1298629364421808,2.3028756725653304e-17,7.687373164809593e-17
ARHGAP29,-1.155283376730976,2.3108350392203045e-17,7.712528459649285e-17
C15orf54,1.2204605278731209,2.434370626052456e-17,8.112934548889208e-17
RBM20,-1.5431367144040715,2.579065773969801e-17,8.590436282446896e-17
GPR160,-1.2261382175405382,2.6237301159854915e-17,8.731217422538191e-17
COL9A3,2.524027636406678,2.781361268743891e-17,9.24732770318631e-17
MDK,1.2424771097171252,2.978474614164243e-17,9.88102303656492e-17
BHLHE40,-1.034268848384425,3.0325426418399637e-17,1.0058559349382809e-16
HCN1,-1.5483455793585046,3.0498612634503194e-17,1.011416006168449e-16
C8orf4,-1.6543384779263857,3.1727926469387774e-17,1.0506520748085603e-16
HTR1D,1.8536752100840346,3.212226835215244e-17,1.0633236057723784e-16
CREB5,-1.3361638300390588,3.3146236109183903e-17,1.0968204615442185e-16
PRSS35,-1.527949130074565,3.3699784172547415e-17,1.1143920146402148e-16
PLLP,-1.484297396141554,3.3701741694195366e-17,1.1143920146402148e-16
LGR4,-1.0940249023553097,3.609414218706176e-17,1.1922004540574946e-16
EMX2,-1.5868493135282287,3.621785434130786e-17,1.1960696708541855e-16
KIAA1239,-2.1792276659959757,3.653195809329749e-17,1.2062238947438678e-16
C19orf59,1.6538783761391878,3.657688995105001e-17,1.2074884435599624e-16
GLDC,2.4734056456385365,3.7097215243831264e-17,1.2239996539486325e-16
CAMK2N1,-1.4937993016925066,3.8045388541903635e-17,1.2548291495348286e-16
SERPINF2,-1.288216842229847,3.8176335547335916e-17,1.2586919687885448e-16
HAPLN3,1.3692755000591763,3.896658621669981e-17,1.2835844533162984e-16
MAFF,-1.0881135814889316,3.911335027143184e-17,1.2881858422125453e-16
NAT14,1.051571333885665,4.0303183830702433e-17,1.326336649051487e-16
MAK,-1.3205777606817395,4.0616965089230195e-17,1.3362563085473652e-16
TIGIT,1.9183766007811585,4.0818869330475455e-17,1.342656086777457e-16
C10orf108,-1.6234415256243344,4.234138838835518e-17,1.3919817461318933e-16
FRMPD1,-1.5590149130074566,4.257341891684847e-17,1.3991044313836302e-16
HHEX,-1.039094372115044,4.3109842256549584e-17,1.416477362086592e-16
ALPK3,-1.3361570422535234,4.468475945380284e-17,1.4674304101345356e-16
TRIM46,1.2787531778908754,4.4916975105076156e-17,1.4745242521870174e-16
TAF7L,1.3524193395668132,4.508407506857646e-17,1.4797429110589566e-16
GYS2,-2.0807747721623855,4.758701746488063e-17,1.5604872615983105e-16
CSF3,-2.3939196413776784,4.8035852610923674e-17,1.574354744466409e-16
RADIL,-1.6160010770505373,5.022551460176324e-17,1.6455274339378984e-16
CXCL9,2.542237507397326,5.0542141579437134e-17,1.6556030289193705e-16
NRN1,-1.4996406556988973,5.24664957439465e-17,1.7167852274439298e-16
GABRA5,2.3188131258137057,5.4261325874389804e-17,1.7745578779941028e-16
STEAP1,-1.2472028642442865,5.537373100286861e-17,1.8102874020208643e-16
RCAN1,-1.1275952420404725,5.619720909608889e-17,1.8358898011057178e-16
PDPN,-1.1989012960113623,5.638274747516432e-17,1.8412901906896595e-16
LOC100128164,-1.1198222511539826,6.395352805577202e-17,2.082178628508707e-16
UNC13D,1.354628115753342,6.475753653368217e-17,2.107601354411973e-16
TSNAXIP1,-1.0818538406912057,6.495248389140126e-17,2.1135682235880891e-16
DKK2,-1.421851491300746,7.467368156780742e-17,2.425995048329107e-16
XKRX,1.2384599715942715,7.539575535299688e-17,2.448579722909192e-16
BEGAIN,-1.5917053024026502,7.55546635659237e-17,2.453302784321279e-16
NTS,-2.7559556929814173,7.591814418011335e-17,2.4646655582496936e-16
TMSB15B,1.426187264765061,7.901310410198798e-17,2.5637710052914213e-16
AMPH,-1.6367697242277188,7.937224540090808e-17,2.574965216597273e-16
C1QL4,1.9694970588235297,8.188825411663688e-17,2.6546961526004294e-16
GLI2,-1.1865342111492483,8.307488369508835e-17,2.6922059959083023e-16
FCGR1C,1.3416328973843048,8.38127611685927e-17,2.7151516133687366e-16
UNC13A,1.5652282636998462,8.511702812112027e-17,2.756913279161481e-16
C13orf36,-1.804556799621257,8.617847934378925e-17,2.7907967612435433e-16
RASGRP4,-1.1972787548822357,8.672236262672119e-17,2.8079102933016823e-16
MUC5B,2.3500086400757496,9.102976645539797e-17,2.943187990741757e-16
SV2B,-1.6910750562196712,9.14247234758808e-17,2.95543285638689e-16
GJD3,-1.1324768670848622,9.448510192513767e-17,3.050571674961478e-16
ITGB3,-1.3643421943425276,9.676803492956569e-17,3.1226175143110876e-16
ACBD7,1.597452698544208,9.748943752609977e-17,3.1447815546475175e-16
PRND,-1.6758743815836197,1.007148409221071e-16,3.2453748438752263e-16
FAM46B,-1.356427825778197,1.0165327250311167e-16,3.2750345475648526e-16
APLP1,1.717681122026276,1.0317336442564798e-16,3.3234201957884804e-16
C2CD4C,-1.4786264054917733,1.0486205607030364e-16,3.3749325334300925e-16
HAAO,-1.115536104864482,1.0570075099649717e-16,3.401221089604451e-16
STK32A,-1.615010906616167,1.1023091788660697e-16,3.541357921443535e-16
PARP11,-1.005997828145345,1.1486843018482295e-16,3.6877425655279232e-16
NCAM1,-1.8675203988637712,1.1662051321016928e-16,3.742671371587996e-16
CDH8,-1.7575297668363117,1.1765345337939112e-16,3.77449032757324e-16
WIF1,-3.5423065747425726,1.2149358992849636e-16,3.897000559415717e-16
MST1P9,-1.645344395786482,1.3059402955226686e-16,4.1808004219836683e-16
LOC100240726,-1.137636667061191,1.3621719313403999e-16,4.3569874655050605e-16
C2orf88,-1.5271870162149366,1.4111854663982923e-16,4.511381988909048e-16
NTSR1,1.6788456030299448,1.4305018092692995e-16,4.572330892735568e-16
PDE3B,-2.1676965853947205,1.4529780310432843e-16,4.643356583406058e-16
PARP8,-1.1433870517220983,1.4914714116236785e-16,4.762191563898583e-16
SLURP1,1.9455091490117176,1.5383931602355058e-16,4.907706045525221e-16
NRXN2,-1.4739530891229728,1.573296467343947e-16,5.015536881797174e-16
GJB6,2.4568869570363354,1.584549273923532e-16,5.049641182288174e-16
ZNF727,-1.714189111137412,1.5958729905745993e-16,5.084837396714412e-16
FLJ44606,-1.0110307136939287,1.8113383981448592e-16,5.755243997456951e-16
ALDOC,-1.408585720203579,1.8135043469103479e-16,5.761120353718859e-16
ADAMTSL4,-1.3047933187359435,1.857041995347007e-16,5.89634317831878e-16
DLGAP3,1.379191140963428,1.9320119704911557e-16,6.130105263874936e-16
GOLGA8A,-1.107025429044855,1.9327263647395502e-16,6.131303244571982e-16
HIST1H4H,1.6770337081311402,2.0012260173505266e-16,6.345291272222894e-16
CCDC74B,-1.5186856373535313,2.0199813736092458e-16,6.403643494219628e-16
KNDC1,-1.891368978577345,2.0430531535279084e-16,6.473402359211229e-16
FANK1,-1.201348301574149,2.1251259803638923e-16,6.728764693088177e-16
EFHB,-1.5699723044147238,2.1845360616674897e-16,6.913266677770048e-16
KCNH3,-1.6666296543969699,2.2074332931427645e-16,6.983300006096236e-16
B3GALT2,-1.1306086755829092,2.3643172688608814e-16,7.465336902875044e-16
IGF1R,-1.4358937448218718,2.388412844511529e-16,7.536189809090546e-16
TNIP3,1.8759180080482893,2.4550883570507927e-16,7.743887257562915e-16
SEC14L4,1.9240736418511064,2.4871436480041864e-16,7.84363753025298e-16
FAM19A2,-1.0841275594744926,2.4937496894444355e-16,7.863108539226929e-16
FUT5,1.237150076932181,2.572177486723602e-16,8.107592517892593e-16
CHST9,-2.3158266007811577,2.591017697928779e-16,8.161324650527351e-16
GAB3,-1.0905470055627893,2.649419876035152e-16,8.339510635218376e-16
LOC401052,-1.232248763167239,2.650492465885017e-16,8.340002481677609e-16
HTR2B,-1.379711604923659,2.655397523656439e-16,8.353992589546865e-16
GOLGA8B,-1.4053877618653141,2.7062045977930375e-16,8.50942171249381e-16
KCTD16,-1.0482853355426673,2.7850814784125586e-16,8.752907139423999e-16
KLHDC7B,2.325860320748018,2.929793764629591e-16,9.19500618923318e-16
TUBB8,1.1261882648834192,2.937089432178481e-16,9.21631424477588e-16
LY6E,1.1484979701739846,3.021059345264797e-16,9.473271879733868e-16
KLHL32,-1.1430662918688599,3.1604749674611426e-16,9.89680471919752e-16
SNCAIP,-1.7235004083323489,3.161710868244277e-16,9.898971952984275e-16
MDGA1,-1.159984057284885,3.221570047394369e-16,1.0084649969513276e-15
PSORS1C2,1.9192805065688248,3.2526899002160946e-16,1.0178097644677245e-15
KRT16,2.486407385489409,3.253099604281284e-16,1.0178097644677245e-15
ENTPD3,-1.4361894425375796,3.4937285132325005e-16,1.0912206610564724e-15
C10orf91,1.1775342407385487,3.734192973476203e-16,1.1653268420398994e-15
CAMP,1.9856710616641022,3.738027520467907e-16,1.1661236496157208e-15
