drug,tnbc_pathway_overlap_jaccard,n_shared_pathways_tnbc
CHEMBL1958,0.0033764772087788407,6
CHEMBL1959,0.006193693693693694,11
CHEMBL1962,0.003941441441441441,7
CHEMBL1963,0.0033764772087788407,6
CHEMBL1966,0.0011248593925759281,2
CHEMBL1968,0.0016891891891891893,3
CHEMBL1969,0.0016882386043894203,3
CHEMBL1970,0.003932584269662922,7
CHEMBL1971,0.006186726659167604,11
CHEMBL1972,0.009572072072072071,17
CHEMBL1975,0.00563063063063063,10
CHEMBL1976,0.0022522522522522522,4
CHEMBL1977,0.00731981981981982,13
CHEMBL1978,0.005621135469364812,10
CHEMBL1981,0.005627462014631401,10
CHEMBL1983,0.0039392234102419805,7
CHEMBL1985,0.006193693693693694,11
CHEMBL1987,0.003374578177727784,6
CHEMBL1988,0.0016891891891891893,3
CHEMBL1989,0.006749156355455568,12
CHEMBL1991,0.04617117117117117,82
CHEMBL1992,0.00843644544431946,15
CHEMBL1993,0.01124859392575928,20
CHEMBL1994,0.006756756756756757,12
CHEMBL1995,0.005061867266591676,9
CHEMBL1996,0.0045045045045045045,8
CHEMBL1997,0.0022484541877459247,4
CHEMBL2000,0.005061867266591676,9
CHEMBL2001,0.00562429696287964,10
CHEMBL2002,0.006749156355455568,12
CHEMBL2004,0.003941441441441441,7
CHEMBL2008,0.00563063063063063,10
CHEMBL2014,0.003941441441441441,7
CHEMBL2015,0.01295045045045045,23
CHEMBL202,0.005627462014631401,10
CHEMBL2023,0.005614823133071308,10
CHEMBL2027,0.0,0
CHEMBL203,0.04391891891891892,78
CHEMBL2033,0.005621135469364812,10
CHEMBL2034,0.015765765765765764,28
CHEMBL2035,0.0045045045045045045,8
CHEMBL2039,0.001687289088863892,3
CHEMBL2040,0.0011261261261261261,2
CHEMBL2044,0.0022509848058525606,4
CHEMBL2045,0.0022484541877459247,4
CHEMBL2049,0.0039392234102419805,7
CHEMBL205,0.0033707865168539327,6
CHEMBL2050,0.002815315315315315,5
CHEMBL2055,0.010698198198198198,19
CHEMBL2056,0.0039392234102419805,7
CHEMBL2057,0.005627462014631401,10
CHEMBL2059,0.0022509848058525606,4
CHEMBL206,0.02421171171171171,43
CHEMBL2060,0.01126126126126126,20
CHEMBL2061,0.0365990990990991,65
CHEMBL2062,0.0033783783783783786,6
CHEMBL2063,0.001687289088863892,3
CHEMBL2064,0.009572072072072071,17
CHEMBL2066,0.0011261261261261261,2
CHEMBL2069,0.006186726659167604,11
CHEMBL207,0.02702702702702703,48
CHEMBL2070,0.04756575265808618,85
CHEMBL2071,0.005061867266591676,9
CHEMBL2074,0.0016863406408094434,3
CHEMBL2075,0.00563063063063063,10
CHEMBL2076,0.0039303761931499155,7
CHEMBL2079,0.0016882386043894203,3
CHEMBL208,0.014076576576576577,25
CHEMBL2081,0.003941441441441441,7
CHEMBL2083,0.00731981981981982,13
CHEMBL2084,0.0016891891891891893,3
CHEMBL2085,0.00563063063063063,10
CHEMBL2086,0.0016891891891891893,3
CHEMBL2088,0.0022522522522522522,4
CHEMBL209,0.0061902082160945416,11
CHEMBL2094,0.003941441441441441,7
CHEMBL2099,0.0045045045045045045,8
CHEMBL210,0.009009009009009009,16
CHEMBL2100,0.003937007874015748,7
CHEMBL2102,0.0022522522522522522,4
CHEMBL2104,0.00563063063063063,10
CHEMBL2105,0.0033707865168539327,6
CHEMBL2106,0.006756756756756757,12
CHEMBL2107,0.01463963963963964,26
CHEMBL2108,0.0111731843575419,20
CHEMBL2109,0.018018018018018018,32
CHEMBL2114,0.003374578177727784,6
CHEMBL2116,0.02304665542439573,41
CHEMBL2117,0.02023608768971332,36
CHEMBL212,0.02027027027027027,36
CHEMBL2120,0.038829487900956666,69
CHEMBL2121,0.00563063063063063,10
CHEMBL2123,0.003374578177727784,6
CHEMBL2127,0.0033783783783783786,6
CHEMBL213,0.0045045045045045045,8
CHEMBL2131,0.0016882386043894203,3
CHEMBL2139,0.0011261261261261261,2
CHEMBL2147,0.007882882882882882,14
CHEMBL2148,0.013513513513513514,24
CHEMBL215,0.010638297872340425,19
CHEMBL2156,0.0016891891891891893,3
CHEMBL2158,0.002815315315315315,5
CHEMBL2159,0.0028137310073157004,5
CHEMBL216,0.0045045045045045045,8
CHEMBL2160,0.004501969611705121,8
CHEMBL2161,0.0033764772087788407,6
CHEMBL2164,0.01463963963963964,26
CHEMBL2167,0.07995495495495496,142
CHEMBL217,0.0028137310073157004,5
CHEMBL2171,0.02702702702702703,48
CHEMBL218,0.0033783783783783786,6
CHEMBL2182,0.0039392234102419805,7
CHEMBL2184,0.0033707865168539327,6
CHEMBL2185,0.019144144144144143,34
CHEMBL219,0.0039392234102419805,7
CHEMBL2193,0.00505902192242833,9
CHEMBL2194,0.0028137310073157004,5
CHEMBL220,0.004496908375491849,8
CHEMBL2200,0.0033764772087788407,6
CHEMBL2202,0.0039303761931499155,7
CHEMBL2206,0.003941441441441441,7
CHEMBL221,0.0039392234102419805,7
CHEMBL222,0.0022484541877459247,4
CHEMBL223,0.005067567567567568,9
CHEMBL224,0.0039392234102419805,7
CHEMBL2249,0.002815315315315315,5
CHEMBL225,0.0039392234102419805,7
CHEMBL226,0.003374578177727784,6
