drug,n_pathways_tnbc,mean_pathway_score_tnbc,max_pathway_score_tnbc,sum_pathway_score_tnbc,tnbc_pathway_overlap_jaccard,n_shared_pathways_tnbc,tnbc_pathway_enrichment_similarity,n_families_tnbc,n_targets_with_family_tnbc
CHEMBL1827,11,0.000485232874239,0.0007265274502919,0.0053375616166293,0.0061902082160945,11,0.000485232874239,1,1
CHEMBL1832,6,0.0004812285599901,0.0005491911751487,0.0028873713599411,0.0033764772087788,6,0.0004812285599901,1,1
CHEMBL1833,7,0.000457029754172,0.0005938015641085,0.003199208279204,0.0039392234102419,7,0.0004570297541719,1,1
CHEMBL1835,10,0.0004189106533443,0.0005043894392236,0.0041891065334433,0.0056211354693648,10,0.0004189106533443,1,1
CHEMBL1836,6,0.0004733075810867,0.0005491911751487,0.0028398454865205,0.0033745781777277,6,0.0004733075810867,1,1
CHEMBL1839,4,0.0006731190941054,0.0007519097872204,0.0026924763764219,0.0022522522522522,4,0.0006731190941054,1,1
CHEMBL1842,10,0.0005014641218339,0.0005673045318414,0.0050146412183394,0.0056306306306306,10,0.0005014641218339,1,1
CHEMBL1843,3,0.0006468555297338,0.0007519097872204,0.0019405665892015,0.0016872890888638,3,0.0006468555297338,0,0
CHEMBL1845,8,0.0004759106838366,0.0005868213347151,0.0038072854706933,0.0045045045045045,8,0.0004759106838366,1,1
CHEMBL1846,6,0.0006143488323098,0.0013890700171119,0.0036860929938593,0.0033783783783783,6,0.0006143488323098,1,1
CHEMBL1851,13,0.0004418836728251,0.0005043894392236,0.0057444877467274,0.0073198198198198,13,0.0004418836728251,1,1
CHEMBL1854,6,0.0004733075810867,0.0005491911751487,0.0028398454865205,0.0033764772087788,6,0.0004733075810867,1,1
CHEMBL1855,6,0.0004807426459133,0.0005938015641085,0.0028844558754803,0.0033764772087788,6,0.0004807426459133,1,1
CHEMBL1856,5,0.0004712158920977,0.0005043894392236,0.0023560794604886,0.0028153153153153,5,0.0004712158920977,1,1
CHEMBL1859,10,0.0005372518179882,0.000795557959329,0.0053725181798825,0.0056306306306306,10,0.0005372518179882,1,1
CHEMBL1860,9,0.0005499407943611,0.0005994576540304,0.0049494671492506,0.0050675675675675,9,0.0005499407943611,1,1
CHEMBL1861,2,0.0005943284009905,0.000709655789783,0.0011886568019811,0.0011248593925759,2,0.0005943284009905,1,1
CHEMBL1864,3,0.0005797411559679,0.0006648524079466,0.0017392234679038,0.0016891891891891,3,0.0005797411559679,1,1
CHEMBL1867,17,0.0004665848920284,0.0006648524079466,0.0079319431644831,0.0095613048368953,17,0.0004665848920283,1,1
CHEMBL1868,6,0.0005476339011863,0.000640963966067,0.0032858034071179,0.0033783783783783,6,0.0005476339011862,1,1
CHEMBL1869,2,0.0005943284009905,0.000709655789783,0.0011886568019811,0.0011248593925759,2,0.0005943284009905,1,1
CHEMBL1871,23,0.0005630925987841,0.0007085366872923,0.0129511297720357,0.0129504504504504,23,0.0005630925987841,1,1
CHEMBL1874,4,0.0005273428119377,0.0008106735657093,0.0021093712477508,0.0022471910112359,4,0.0005273428119377,1,1
CHEMBL1875,7,0.0004506568414634,0.0005491911751487,0.0031545978902442,0.0039392234102419,7,0.0004506568414634,1,1
CHEMBL1876,4,0.0005273428119377,0.0008106735657093,0.0021093712477508,0.0022471910112359,4,0.0005273428119377,1,1
CHEMBL1881,6,0.0004733075810867,0.0005491911751487,0.0028398454865205,0.0033745781777277,6,0.0004733075810867,1,1
CHEMBL1882,3,0.0004926539126606,0.0005054886485959,0.0014779617379819,0.0016835016835016,3,0.0004926539126606,1,1
CHEMBL1883,3,0.0004926539126606,0.0005054886485959,0.0014779617379819,0.0016835016835016,3,0.0004926539126606,1,1
CHEMBL1886,14,0.0005219134349192,0.0008106735657093,0.00730678808887,0.0078695896571107,14,0.0005219134349192,1,1
CHEMBL1889,9,0.0005101809879687,0.0008106735657093,0.0045916288917187,0.0050590219224283,9,0.0005101809879687,1,1
CHEMBL1892,3,0.0005007331275348,0.000709655789783,0.0015021993826045,0.0016891891891891,3,0.0005007331275348,1,1
