drug,n_pathways_lumb,mean_pathway_score_lumb,max_pathway_score_lumb,sum_pathway_score_lumb
CHEMBL252,7,0.000478284681366603,0.0006110699911817852,0.003347992769566221
CHEMBL2524,5,0.0005235962174932292,0.0005758713305384232,0.002617981087466146
CHEMBL2527,24,0.0006417966688796463,0.0010059408647990168,0.015403120053111511
CHEMBL253,6,0.00046578889872917183,0.0005265310806402449,0.002794733392375031
CHEMBL2531,4,0.0004525560633891857,0.0005503254614852356,0.0018102242535567427
CHEMBL2534,75,0.0006014616049636685,0.00090972233633595,0.04510962037227514
CHEMBL2536,16,0.0005722296168650734,0.00088084735485055,0.009155673869841174
CHEMBL254,7,0.0004921804800498611,0.0005444404172623459,0.0034452633603490276
CHEMBL255,14,0.0004940728728402361,0.0005444404172623459,0.006917020219763305
CHEMBL2552,7,0.0004471835248710498,0.0005491757597568884,0.003130284674097349
CHEMBL2553,50,0.0006056567701843408,0.0010213575529755333,0.030282838509217036
CHEMBL2559,5,0.0003970188764350949,0.0005109867686159381,0.0019850943821754746
CHEMBL256,6,0.00046578889872917183,0.0005265310806402449,0.002794733392375031
CHEMBL2575,10,0.0005377087318039063,0.0007363386100038,0.005377087318039064
CHEMBL258,53,0.0006091896486523727,0.0008138588190817333,0.03228705137857575
CHEMBL2581,17,0.000512307334723596,0.0007317547127250307,0.008709224690301132
CHEMBL2582,62,0.0006002886828688631,0.0008104022260075751,0.03721789833786951
CHEMBL259,10,0.0004806265593887852,0.0005444404172623459,0.004806265593887852
CHEMBL2595,2,0.0005094688326885636,0.0005292513098544906,0.0010189376653771272
CHEMBL2597,75,0.0005699457980662967,0.0010345792099268668,0.04274593485497225
CHEMBL2599,47,0.0005964603969217091,0.0007801989141368572,0.02803363865532033
CHEMBL2600,18,0.0005052541915121309,0.00063101187361274,0.009094575447218357
CHEMBL2608,10,0.0007727502943402837,0.0013902905273324,0.007727502943402837
CHEMBL2609,3,0.000521032132469217,0.0007708574921230142,0.0015630963974076508
CHEMBL2626,12,0.00047171607979098156,0.0005292513098544906,0.0056605929574917785
CHEMBL2632,28,0.000535286218326959,0.0007470805240262666,0.014988014113154851
CHEMBL2634,35,0.0006643856236363288,0.0011067888525794285,0.023253496827271507
CHEMBL264,5,0.0004297984042266944,0.000513003797543632,0.002148992021133472
CHEMBL2641,3,0.0003937582361180013,0.0005250877006656038,0.0011812747083540039
CHEMBL2650,17,0.0004549669389244701,0.0005503254614852356,0.007734437961715992
CHEMBL2652,8,0.00047996870601271823,0.0005503254614852356,0.003839749648101746
CHEMBL2655,46,0.0004589599406112219,0.0005598652762610857,0.021112157268116206
CHEMBL2656,2,0.0006302719238228254,0.0007708574921230142,0.0012605438476456508
CHEMBL267,168,0.0007377057074339945,0.0019733026243069,0.12393455884891108
CHEMBL268,14,0.0004941610518650128,0.0006103455674322959,0.00691825472611018
CHEMBL2692,3,0.0005664535770717492,0.0006086728991084674,0.0016993607312152477
CHEMBL271,23,0.000557031278666309,0.0011476929330024,0.012811719409325108
CHEMBL2736,9,0.00041532779637344836,0.0005265310806402449,0.003737950167361035
