drug,n_pathways_tnbc,mean_pathway_score_tnbc,max_pathway_score_tnbc,sum_pathway_score_tnbc
CHEMBL2056,7,0.00045065684146345714,0.0005491911751487,0.0031545978902442
CHEMBL2057,10,0.0005299901619255021,0.0007576956480402,0.0052999016192550215
CHEMBL2059,4,0.0005142060273748715,0.000622555440055825,0.002056824109499486
CHEMBL206,43,0.0006119997865022138,0.00118381999681392,0.026315990819595195
CHEMBL2060,20,0.0004653997024372784,0.0006003578762004223,0.009307994048745568
CHEMBL2061,65,0.0005097217245410184,0.000740506171426325,0.033131912095166194
CHEMBL2062,6,0.0006143488323098839,0.0013890700171119,0.003686092993859303
CHEMBL2063,3,0.0004259149065860551,0.0005043894392236589,0.0012777447197581653
CHEMBL2064,17,0.00043745772458439735,0.0005182265072725687,0.007436781317934755
CHEMBL2066,2,0.0004024545555709931,0.00040540103343701114,0.0008049091111419862
CHEMBL2069,11,0.0005030420290085337,0.0006694861850876889,0.0055334623190938705
CHEMBL207,48,0.0006064232343773566,0.0008258782208719833,0.02910831525011312
CHEMBL2070,85,0.0005693249592731596,0.0010387954510102666,0.048392621538218564
CHEMBL2071,9,0.000538314479130598,0.0008106735657093666,0.0048448303121753815
CHEMBL2074,3,0.000519585304889654,0.0005673045318414598,0.001558755914668962
CHEMBL2075,10,0.0005168940083473621,0.00065580248730912,0.005168940083473622
CHEMBL2076,7,0.0004285646328929378,0.0004995065325689052,0.0029999524302505645
CHEMBL2079,3,0.0005605883661442954,0.0006175026472933751,0.0016817650984328864
CHEMBL208,25,0.0005900516514853062,0.0008031264859969046,0.014751291287132656
CHEMBL2081,7,0.00040106470975985063,0.000490427266670575,0.0028074529683189543
CHEMBL2083,13,0.0005327588107450552,0.00071533176511,0.0069258645396857174
CHEMBL2084,3,0.0005187263617728128,0.00053508336366684,0.0015561790853184385
CHEMBL2085,10,0.0005508271553189596,0.0006543927633880389,0.005508271553189596
CHEMBL2086,3,0.00040712339535486637,0.00047936735570674907,0.0012213701860645991
CHEMBL2088,4,0.00047796025751785246,0.00056066427908745,0.0019118410300714098
CHEMBL209,11,0.0004359975083503532,0.00056066427908745,0.004795972591853885
CHEMBL2094,7,0.0004786295837431144,0.0005673045318414598,0.0033504070862018006
CHEMBL2099,8,0.0005021522159760924,0.0005270534225442525,0.0040172177278087395
CHEMBL210,16,0.0005068126516158179,0.0006542111730366815,0.008109002425853086
CHEMBL2100,7,0.0004019819321484697,0.0005043894392236589,0.0028138735250392882
CHEMBL2102,4,0.0010271118363223892,0.0013890700171119,0.004108447345289557
CHEMBL2104,10,0.0004956222803772766,0.0005583832625663333,0.004956222803772766
CHEMBL2105,6,0.0005034042877934032,0.0007096557897830501,0.0030204257267604194
CHEMBL2106,12,0.0005447224780437402,0.0006900603232269,0.006536669736524883
CHEMBL2107,26,0.0005064285330862267,0.0006809634463834166,0.013167141860241894
CHEMBL2108,20,0.000615442499434784,0.0009084021929416999,0.01230884998869568
