drug,her2_pathway_enrichment_similarity
CHEMBL245,0.057433232527474974
CHEMBL2457,0.03223204458692839
CHEMBL246,0.04435546175791511
CHEMBL2465,0.01754158198376215
CHEMBL2468,0.0310643552594118
CHEMBL2469,0.01754158198376215
CHEMBL2476,0.04794349052127808
CHEMBL2478,0.0
CHEMBL248,0.08582290960692265
CHEMBL2484,0.02011594568103546
CHEMBL2487,0.1679506969190825
CHEMBL249,0.057386818613799864
CHEMBL2490,0.04086604497438928
CHEMBL2492,0.02172770464367473
CHEMBL2493,0.041741800693039344
CHEMBL2494,0.09289665368893524
CHEMBL2498,0.30277430067205924
CHEMBL250,0.06713440586360252
CHEMBL2502,0.03246446196240832
CHEMBL2503,0.030034039156895367
CHEMBL2506,0.31819018011514905
CHEMBL2508,0.10392090979023998
CHEMBL251,0.05590473212504766
CHEMBL2514,0.04462990484564901
CHEMBL2517,0.0300310723702316
CHEMBL252,0.04462990484564901
CHEMBL2524,0.03594684810179209
CHEMBL2527,0.11310145360407511
CHEMBL253,0.040572377418020354
CHEMBL2531,0.032372674886988764
CHEMBL2534,0.1829996430135773
CHEMBL2536,0.07413949017344236
CHEMBL254,0.04629001628751604
CHEMBL255,0.05909772654013461
CHEMBL2552,0.04175882477720112
CHEMBL2553,0.15065310216640698
CHEMBL2559,0.03057784515667283
CHEMBL256,0.03513670953593571
CHEMBL2575,0.058342081285635256
CHEMBL258,0.15576186291550775
CHEMBL2581,0.07320011594949943
CHEMBL2582,0.17109284310573264
CHEMBL259,0.05403510212833655
CHEMBL2595,0.022963392913200903
CHEMBL2597,0.16147183669518345
CHEMBL2599,0.14334198053767283
CHEMBL2600,0.07619385371667098
CHEMBL2608,0.0794239342060075
CHEMBL2609,0.032732445964243524
CHEMBL2626,0.05289718777375224
CHEMBL2632,0.09799819229908316
CHEMBL2634,0.1400402711281034
CHEMBL264,0.030807412089214527
CHEMBL2641,0.024439311979971172
CHEMBL2650,0.06489191083498863
CHEMBL2652,0.04843042751650814
CHEMBL2655,0.11024973557715063
CHEMBL2656,0.025892655585202914
CHEMBL267,0.3395773782762411
CHEMBL268,0.06308778159233304
CHEMBL2692,0.03489152837382813
CHEMBL271,0.09449832508591935
CHEMBL2736,0.041030753245800064
CHEMBL274,0.07685445543973313
CHEMBL275,0.04209774699408139
CHEMBL2754,0.11851274263176824
CHEMBL278,0.07454857058359701
CHEMBL279,0.08792971623001655
CHEMBL2796,0.05551587721428807
CHEMBL280,0.05410037655842268
CHEMBL281,0.013498172637619113
CHEMBL2835,0.16394693256566323
CHEMBL2847,0.10396509203109225
CHEMBL2849,0.09660049555693949
CHEMBL2882,0.04020539277645518
CHEMBL2883,0.04367572407033081
CHEMBL2885,0.01224823255879283
CHEMBL2886,0.07164460917399348
CHEMBL2887,0.058264774311737565
CHEMBL2888,0.034936394568543756
CHEMBL2896,0.09275182747337783
CHEMBL2897,0.1354889142904694
CHEMBL2918,0.1736594978075103
CHEMBL2938,0.0882731187679099
CHEMBL2940,0.07797687837275212
CHEMBL2959,0.052789876816018974
CHEMBL2960,0.11691934158567349
CHEMBL2963,0.030100853460955482
CHEMBL2964,0.13208740847456868
CHEMBL2971,0.18455672149943023
CHEMBL2972,0.04193903993818607
CHEMBL2979,0.037729924992807584
CHEMBL3023,0.022963392913200903
CHEMBL3024,0.15320249798595847
CHEMBL3025,0.01224823255879283
CHEMBL3028,0.055648952092401234
CHEMBL3030,0.12318478961056784
CHEMBL3038,0.027162146044605387
CHEMBL3040,0.0665024602143716
CHEMBL3043,0.02242369750822675
CHEMBL3076,0.029928349980555036
CHEMBL3079,0.021751886340302055
CHEMBL3080,0.022758313056048002
CHEMBL3123,0.0310643552594118
CHEMBL3125,0.04633029503969592
CHEMBL3126,0.05077236271816573
CHEMBL3142,0.06158702164944814
CHEMBL3143,0.06318148752733131
CHEMBL3155,0.04204224819658506
CHEMBL3157,0.04761882731850793
CHEMBL3164,0.11166516496399827
CHEMBL3167,0.03487252471372798
CHEMBL3191,0.03676861470460021
CHEMBL3201,0.045258961679419646
CHEMBL3230,0.037562722509161206
CHEMBL3233,0.09513052023520516
CHEMBL3240,0.05638295939851386
CHEMBL3253,0.10686890197821515
CHEMBL3254,0.04709242823804566
CHEMBL3256,0.06779067876358473
CHEMBL3276,0.06822508975809463
CHEMBL3311,0.06634326099212978
CHEMBL3351,0.045071849069434705
CHEMBL3371,0.04020539277645518
CHEMBL3373,0.07196465076973255
CHEMBL3379,0.034188175318874435
CHEMBL3409,0.07735811836305456
CHEMBL3419,0.03987472627932369
CHEMBL3421,0.06489191083498863
CHEMBL3429,0.06739498152025711
CHEMBL3438,0.09568389327709065
CHEMBL3473,0.04490856146392866
CHEMBL3474,0.03292446900176979
CHEMBL3475,0.0860489751654262
CHEMBL3477,0.04843042751650814
CHEMBL3478,0.06121252315322441
CHEMBL3510,0.01224823255879283
CHEMBL3514,0.027893958166389808
CHEMBL3568,0.04741547167506723
