drug,n_pathways_her2,mean_pathway_score_her2,max_pathway_score_her2,sum_pathway_score_her2
CHEMBL2014,7,0.00045170628303245046,0.0005267415572554522,0.0031619439812271533
CHEMBL2015,23,0.0005470784553367825,0.00075168652910942,0.012582804472745998
CHEMBL202,10,0.0005392308218352208,0.0007531305817134,0.005392308218352208
CHEMBL2023,10,0.00048600368081300356,0.0005772331246023375,0.004860036808130036
CHEMBL203,78,0.0007507620982220696,0.0012178412415271666,0.058559443661321424
CHEMBL2033,10,0.0004482572153197005,0.0005106120661872273,0.004482572153197005
CHEMBL2034,28,0.0005492093928955958,0.0007273912437169,0.015377863001076682
CHEMBL2035,8,0.0004424891218515513,0.0005914152898280321,0.0035399129748124106
CHEMBL2039,3,0.00042960364559263537,0.00048270841405956066,0.0012888109367779062
CHEMBL2040,2,0.0006011183022710733,0.0006575373175270135,0.0012022366045421466
CHEMBL2044,4,0.0004693494716731677,0.000495029402354168,0.0018773978866926707
CHEMBL2045,4,0.00046725062643966826,0.0005376933654451653,0.001869002505758673
CHEMBL2049,7,0.00047008174722594075,0.0005914152898280321,0.0032905722305815854
CHEMBL205,6,0.00047221291793625637,0.0005376933654451653,0.002833277507617538
CHEMBL2050,5,0.000595342473245805,0.0006855865214676999,0.002976712366229025
CHEMBL2055,19,0.0005614475336760564,0.000757174723443525,0.010667503139845073
CHEMBL2056,7,0.0004527179455859511,0.0005393420828279791,0.0031690256191016578
CHEMBL2057,10,0.0005392308218352208,0.0007531305817134,0.005392308218352208
CHEMBL2059,4,0.0005051681673840392,0.0006098653326138,0.002020672669536157
CHEMBL206,43,0.0006162159694606102,0.00117669869992044,0.02649728668680624
CHEMBL2060,20,0.00046375696868141867,0.00056521122609199,0.009275139373628373
CHEMBL2061,65,0.0005109092788646147,0.000757174723443525,0.03320910312619996
CHEMBL2062,6,0.0004711853609659247,0.0006680225852612,0.002827112165795548
CHEMBL2063,3,0.0004266200332487293,0.0005106120661872273,0.001279860099746188
CHEMBL2064,16,0.0004417508660455479,0.0005267415572554522,0.007068013856728767
CHEMBL2066,2,0.00042942048323402107,0.0004459816915536,0.0008588409664680421
CHEMBL2069,11,0.0005067638802339289,0.0006740722549982221,0.005574402682573218
CHEMBL207,48,0.0006156641670640675,0.0008461166180533,0.02955188001907524
CHEMBL2070,85,0.0005626515027395203,0.0010407767110391,0.04782537773285923
CHEMBL2071,9,0.0005362280951878659,0.0008108424355144666,0.004826052856690793
CHEMBL2074,3,0.0005178343852079393,0.0005641791011353434,0.001553503155623818
CHEMBL2075,10,0.0005124247353180106,0.00066259129509681,0.005124247353180106
CHEMBL2076,7,0.0004339543441640283,0.0005001339661636436,0.003037680409148198
CHEMBL2079,3,0.0005613785489136494,0.0006262790790740187,0.0016841356467409481
CHEMBL208,25,0.0005926356877284558,0.00083848845790065,0.014815892193211394
CHEMBL2081,7,0.0003944237780973144,0.00048270841405956066,0.002760966446681201
CHEMBL2083,13,0.0005375459619300792,0.0007462603502602999,0.0069880975050910284
CHEMBL2084,3,0.0005146086089316497,0.0005377749017961,0.0015438258267949493
CHEMBL2085,10,0.000556082921710953,0.0006575373175270135,0.00556082921710953
CHEMBL2086,3,0.00040172988037531993,0.00048765636412752647,0.0012051896411259598
CHEMBL2088,4,0.00046725062643966826,0.0005376933654451653,0.001869002505758673
CHEMBL209,11,0.0004251352111677853,0.0005376933654451653,0.004676487322845638
CHEMBL2094,7,0.0004796839570817961,0.0005641791011353434,0.0033577876995725727
CHEMBL2099,8,0.0005049441867696828,0.0005359246183143737,0.004039553494157463
CHEMBL210,16,0.0005013669226739338,0.0006530297142755963,0.008021870762782941
CHEMBL2100,7,0.00039779483116061113,0.0005106120661872273,0.002784563818124278
