drug,n_pathways_lumb,mean_pathway_score_lumb,max_pathway_score_lumb,sum_pathway_score_lumb,lumb_pathway_overlap_jaccard,n_shared_pathways_lumb,lumb_pathway_enrichment_similarity,n_families_lumb,n_targets_with_family_lumb
CHEMBL1947,9,0.0005555268549038,0.0006164629036573,0.0049997416941349,0.0051165434906196,9,0.1771963129009399,1.0,1.0
CHEMBL1950,7,0.0004899248364714,0.0005503254614852,0.0034294738552999,0.0039772727272727,7,0.1215443035911652,1.0,1.0
CHEMBL1951,13,0.0004885892942221,0.0005895078388938,0.0063516608248883,0.0073487846240814,13,0.225109805230104,1.0,1.0
CHEMBL1952,8,0.0005187879663058,0.0005767540095035,0.0041503037304467,0.0045480386583285,8,0.1470913026000753,,
CHEMBL1957,14,0.0006053348050461,0.0007546323944717,0.0084746872706455,0.007959067652075,14,0.3003521840155402,1.0,1.0
CHEMBL1958,6,0.0005039948410471,0.0005292513098544,0.0030239690462828,0.0034090909090909,6,0.1071727697365843,1.0,1.0
CHEMBL1959,11,0.0005651349438563,0.0007285015022419,0.0062164843824195,0.0062535531552018,11,0.2203190042924035,1.0,1.0
CHEMBL1962,7,0.0005363741571541,0.0008492473242828,0.0037546191000793,0.0039795338260375,7,0.1330678066152795,1.0,1.0
CHEMBL1963,6,0.00047933461252,0.0005444404172623,0.0028760076751202,0.0034090909090909,6,0.1019288569455347,1.0,1.0
CHEMBL1966,2,0.0004910704502006,0.0004924545448787,0.0009821409004013,0.0011357183418512,2,0.0348081474897973,1.0,1.0
CHEMBL1968,3,0.0004454508703657,0.0004896863555226,0.0013363526110971,0.0017055144968732,3,0.0473617978504244,1.0,1.0
CHEMBL1969,3,0.0006878239816296,0.0008029280972434,0.002063471944889,0.0017045454545454,3,0.0731317021512978,1.0,1.0
CHEMBL1970,7,0.0005000286993607,0.0006086728991084,0.0035002008955254,0.0039705048213272,7,0.1240509472373841,1.0,1.0
CHEMBL1971,11,0.000532160782457,0.0008107818657282,0.0058537686070278,0.0062464508801817,11,0.2074639605796819,1.0,1.0
CHEMBL1972,17,0.000491417450006,0.0005811357953646,0.0083540966501033,0.0096645821489482,17,0.2960783205566232,1.0,1.0
CHEMBL1975,10,0.0005795365794206,0.0007086395501322,0.0057953657942064,0.0056850483229107,10,0.2053941010293101,1.0,1.0
CHEMBL1976,4,0.000560658656716,0.0006149771129417,0.0022426346268643,0.0022740193291642,4,0.0794814235164388,1.0,1.0
CHEMBL1977,13,0.0005210908426875,0.0006164629036573,0.0067741809549382,0.0073905628197839,13,0.2400843806684953,1.0,1.0
CHEMBL1978,10,0.00047432151999,0.0005292513098544,0.0047432151999006,0.0056753688989784,10,0.1681047334313381,1.0,1.0
CHEMBL1981,10,0.0005809956327856,0.000731754712725,0.0058099563278564,0.0056818181818181,10,0.2059112054967516,1.0,1.0
CHEMBL1983,7,0.0004483841766129,0.0005265310806402,0.0031386892362908,0.0039772727272727,7,0.1112385787179815,1.0,1.0
CHEMBL1985,11,0.0004847402777005,0.0006110699911817,0.0053321430547063,0.0062535531552018,11,0.1889769806033551,1.0,1.0
CHEMBL1987,6,0.0004904395415066,0.0006110699911817,0.0029426372490396,0.0034071550255536,6,0.104290281905254,1.0,1.0
CHEMBL1988,3,0.0004337704398546,0.0004798179331667,0.0013013113195638,0.0017055144968732,3,0.0461198961605322,1.0,1.0
CHEMBL1989,12,0.0004717160797909,0.0005292513098544,0.0056605929574917,0.0068143100511073,12,0.2006176043208812,1.0,1.0
CHEMBL1991,82,0.0006381539978296,0.0010339740739691,0.052328627822031,0.0466173962478681,82,1.8545837918201051,1.0,1.0
CHEMBL1992,15,0.0005248527400644,0.0006204709270786,0.0078727911009672,0.0085178875638841,15,0.2790203255834665,1.0,1.0
CHEMBL1993,20,0.0005713691133459,0.0007916713693819,0.0114273822669184,0.0113571834185122,20,0.4049989234809796,1.0,1.0
CHEMBL1994,12,0.0005691919165255,0.0007040983899847,0.0068303029983071,0.0068220579874928,12,0.2420734072554293,1.0,1.0
CHEMBL1995,9,0.0004824730824181,0.0005503254614852,0.0043422577417633,0.0051107325383304,9,0.1538943626645049,1.0,1.0
CHEMBL1996,8,0.0005812036626164,0.0007002593937212,0.0046496293009319,0.0045480386583285,8,0.1647879468349004,1.0,1.0
CHEMBL1997,4,0.0004148745376375,0.000464487553213,0.0016594981505501,0.0022701475595913,4,0.058814429131083,1.0,1.0
CHEMBL2000,9,0.0004405011009942,0.0005503254614852,0.0039645099089486,0.0051107325383304,9,0.1405065663990307,1.0,1.0
CHEMBL2001,10,0.0005015142645197,0.0006418126765693,0.0050151426451978,0.0056785917092561,10,0.1777421394476859,1.0,1.0
CHEMBL2002,12,0.0005120736387229,0.0005829893311849,0.0061448836646752,0.0068143100511073,12,0.217781396559548,1.0,1.0
CHEMBL2004,7,0.0005474269487322,0.0006086728991084,0.003831988641126,0.0039795338260375,7,0.1358098677542409,1.0,1.0
CHEMBL2008,10,0.000544260083122,0.0006086728991084,0.0054426008312206,0.0056850483229107,10,0.1928917249895637,1.0,1.0
CHEMBL2014,7,0.0004571555589859,0.0005265310806402,0.0032000889129016,0.0039795338260375,7,0.1134146503981425,1.0,1.0
CHEMBL2015,23,0.0005414347232546,0.000751799307137,0.0124529986348562,0.0130756111426947,23,0.4413478890810456,1.0,1.0
CHEMBL202,10,0.0005377087318039,0.0007363386100038,0.005377087318039,0.0056818181818181,10,0.1905698544428176,1.0,1.0
CHEMBL2023,10,0.0004889653107144,0.0005829893311849,0.0048896531071441,0.0056689342403628,10,0.1732946529951668,1.0,1.0
CHEMBL203,78,0.0007519602562178,0.0012291528621626,0.0586528999849922,0.0443433769187038,78,2.078722912921795,1.0,1.0
CHEMBL2033,10,0.00047432151999,0.0005292513098544,0.0047432151999006,0.0056753688989784,10,0.1681047334313381,1.0,1.0
CHEMBL2034,28,0.0005533486696253,0.0007133106491734,0.0154937627495084,0.01591813530415,28,0.5491158944062049,1.0,1.0
CHEMBL2035,8,0.0004560452297153,0.0006110699911817,0.0036483618377228,0.0045480386583285,8,0.1293019330441291,1.0,1.0
CHEMBL2039,3,0.0004454508703657,0.0004896863555226,0.0013363526110971,0.0017035775127768,3,0.0473617978504244,1.0,1.0
CHEMBL2040,2,0.0006088174290892,0.0006673093966932,0.0012176348581784,0.0011370096645821,2,0.0431543108680989,1.0,1.0
CHEMBL2044,4,0.0004554274810722,0.0004864046289194,0.0018217099242888,0.0022727272727272,4,0.0645633917723576,1.0,1.0
CHEMBL2045,4,0.0004720739468859,0.0005491757597568,0.0018882957875439,0.0022701475595913,4,0.0669232675783397,1.0,1.0
CHEMBL2049,7,0.0004782846813666,0.0006110699911817,0.0033479927695662,0.0039772727272727,7,0.1186565248124833,1.0,1.0
CHEMBL205,6,0.0004800095056235,0.0005491757597568,0.002880057033741,0.0034032898468519,6,0.1020723706430681,1.0,1.0
CHEMBL2050,5,0.0006152135327832,0.0007211847178144,0.0030760676639163,0.0028425241614553,5,0.1090192017158013,1.0,1.0
CHEMBL2055,19,0.0005708185188522,0.0007923227231535,0.0108455518581922,0.0108015918135304,19,0.3843782175591352,1.0,1.0
CHEMBL2056,7,0.0004599947884337,0.0005444404172623,0.003219963519036,0.0039772727272727,7,0.114119028172603,1.0,1.0
CHEMBL2057,10,0.0005377087318039,0.0007363386100038,0.005377087318039,0.0056818181818181,10,0.1905698544428176,1.0,1.0
CHEMBL2059,4,0.0005211676116733,0.0006258072682909,0.0020846704466933,0.0022727272727272,4,0.0738830002359803,1.0,1.0
CHEMBL206,43,0.0006227759939566,0.0011859745832475,0.0267793677401345,0.0244457077885162,43,0.949090076180703,1.0,1.0
CHEMBL2060,20,0.0004663138365084,0.0006022908833007,0.0093262767301687,0.0113700966458214,20,0.3305334456814765,1.0,1.0
CHEMBL2061,65,0.0005267579907784,0.0007923227231535,0.0342392694006014,0.0369528140989198,65,1.2134771484946587,1.0,1.0
CHEMBL2062,6,0.0005124755205477,0.0008492131230125,0.0030748531232866,0.0034110289937464,6,0.1089761570677741,1.0,1.0
CHEMBL2063,2,0.0005094688326885,0.0005292513098544,0.0010189376653771,0.0011350737797956,2,0.0361122650781171,1.0,1.0
CHEMBL2064,17,0.0004292320792384,0.0005265310806402,0.0072969453470532,0.0096645821489482,17,0.2586117223724207,1.0,1.0
CHEMBL2066,2,0.0004174441678166,0.0004228387476255,0.0008348883356332,0.0011370096645821,2,0.0295893555724618,1.0,1.0
CHEMBL2069,11,0.000507426765324,0.0006418126765693,0.0055816944185649,0.0062464508801817,11,0.1978213538250838,1.0,1.0
CHEMBL207,48,0.0006181536523301,0.000852502719215,0.0296713753118494,0.0272882319499715,48,1.051585986957576,1.0,1.0
CHEMBL2070,85,0.0005749724460565,0.0010345792099268,0.048872657914803,0.0480225988700565,85,1.7321004391749104,1.0,1.0
CHEMBL2071,9,0.0005371926123143,0.0008107818657282,0.0048347335108293,0.0051107325383304,9,0.1713482424467093,1.0,1.0
CHEMBL2074,3,0.0005330144740296,0.0005758713305384,0.001599043422089,0.0017026106696935,3,0.0566718474466528,1.0,1.0
CHEMBL2075,10,0.0005190532320602,0.000686340329549,0.0051905323206023,0.0056850483229107,10,0.183958141334146,1.0,1.0
CHEMBL2076,7,0.0004341636708459,0.0005083924665701,0.0030391456959218,0.0039682539682539,7,0.1077106467955811,1.0,1.0
CHEMBL2079,3,0.0005664535770717,0.0006086728991084,0.0016993607312152,0.0017045454545454,3,0.0602272025799312,1.0,1.0
CHEMBL208,25,0.0005994196751285,0.0008492473242828,0.014985491878213,0.0142126208072768,25,0.5311022189288989,1.0,1.0
CHEMBL2081,7,0.0003889960004247,0.0004896863555226,0.002722972002973,0.0039795338260375,7,0.0965051053788129,1.0,1.0
CHEMBL2083,13,0.0005411119630335,0.0007559947774312,0.0070344555194367,0.0073905628197839,13,0.2493087958468112,1.0,1.0
