,pagerank
PKLR,0.0002633485462785242
SYNJ1,0.00026321246373063904
SDC3,0.00026305288482481536
RAD54L,0.00026294654917045847
SLC26A4,0.0002629127312213321
UHRF1,0.0002626300460396416
CD79A,0.00026254832747006727
B4GALT2,0.00026216312533330026
NOTCH3,0.00026193767469990614
EGR2,0.0002618651522524159
ANK3,0.0002618317196007782
CDK6,0.00026152319729988557
CDCA3,0.00026135530579175477
DKK1,0.00026114256258716773
PLEC,0.0002611345415104811
TCAP,0.0002609001466769362
RPSA,0.00026039770374757665
EPO,0.000260340062176017
PAK3,0.0002602248443441589
KCNQ1,0.0002601972353407011
AGXT,0.00026016485174020236
NOTCH2,0.0002600055379171918
FASN,0.000259757410068992
PPP2R1B,0.0002595771114347347
ECT2,0.00025938640062296515
RHOC,0.0002592666759078992
IL2RB,0.0002591746201413589
NRP1,0.00025901637481239834
SELL,0.0002586509683005255
CDH5,0.0002586193752399741
TPM2,0.0002585689357739049
CXCR3,0.00025855479485029743
MYL3,0.0002584520344969517
GNG12,0.00025831996139328434
UNC13B,0.0002581041316171087
CKS2,0.00025751925019777585
BLK,0.0002571837517346828
LDB3,0.00025690860272482114
CD38,0.0002566943123316151
SYN1,0.00025662091460959123
CCNA1,0.00025642330788028294
MYL2,0.00025632799283771014
GNG7,0.00025623071083284677
IVL,0.000256099055461647
CEBPB,0.00025551676512040216
CYP24A1,0.0002553360717893876
IRF7,0.00025525193555129384
RFC2,0.00025505076637929866
LAMB1,0.0002549031944226497
RPS6KB1,0.00025489984909502313
MUC6,0.00025469271387199303
GPHN,0.0002546904006959713
GMNN,0.0002546619240438994
MLLT3,0.00025451900746184145
NKX2-5,0.00025441690392202744
CACNB3,0.00025436400673477407
MSH2,0.0002541439796614058
WNT11,0.0002540855141201907
GNA15,0.00025309600701424733
CCNE1,0.00025272266579138414
ADCY7,0.00025251699373558356
HSD17B4,0.0002524682171803795
ITPR3,0.00025207668034187377
MYH6,0.0002518964733663989
MMP1,0.00025187476453618254
UBE2T,0.0002518499339559406
WDHD1,0.00025178689766840233
PARK2,0.0002517744200384764
LIPE,0.0002517466986655186
BMPR1A,0.0002513803793737289
MPO,0.00025127074361715076
CD3E,0.0002505842484664577
FZD2,0.0002504305977514232
NLGN2,0.00025034748779331
SPA17,0.0002501468591087048
RPL5,0.000250120107151853
CYP26A1,0.0002499918710672935
PSMC5,0.0002498957978888162
NF1,0.00024915080157229233
SREBF1,0.0002490682450758833
MYH11,0.0002488088388334502
MUC20,0.00024877997252893095
ADAMTS3,0.0002485566723817521
SOX9,0.0002484010152508202
HOXA5,0.0002480798311440963
GAB2,0.0002479206081946138
MSTN,0.0002479149928072455
PDPK1,0.000247767343518211
SERPINE1,0.0002476626233169409
SNRPG,0.00024765949926964565
KCND2,0.0002474565097476597
HIST1H3F,0.00024737325698130993
CASC5,0.0002471721713773685
KIF22,0.0002471400873108769
SLC17A7,0.0002471217411777729
WNT3,0.0002471206084918255
NFATC1,0.00024684038667707037
FADD,0.000246826196122717
PAK4,0.00024656163063953524
RRAS2,0.0002463624122397064
RAD51C,0.0002463506530896814
GRIA3,0.000245971012679012
UGT1A6,0.0002458883247894424
FMOD,0.00024580510159652404
COL5A1,0.00024556439251563716
A2M,0.00024551679244902045
ADCY2,0.0002454053484487871
ITGB6,0.0002453480083490266
WRN,0.00024489105189679904
BIRC3,0.0002448019787259193
WWTR1,0.0002442633844350572
SNRPE,0.0002442430605174681
DEPDC1,0.0002442080969402749
PLD1,0.0002441457231740924
HAP1,0.00024394566379729477
GSR,0.0002434729062329256
H3F3A,0.00024342675153030648
LAMA2,0.00024336233681066102
NUP153,0.00024316615785763783
ITGAL,0.0002430701395520451
DGAT1,0.00024302936629025198
FGA,0.0002427828744588387
CTGF,0.00024263732503844993
GNRH1,0.00024238341037340872
TPM4,0.00024209318269405119
LAMA5,0.00024207308333040178
TWIST1,0.0002415917238003935
PDZK1,0.00024150181935755078
FCGR3B,0.0002414862298538793
TIMP1,0.00024145389859637933
RUVBL2,0.00024142721877794179
S100B,0.0002412964724276002
ACTA2,0.0002411907215616647
CCT2,0.00024117622421077935
ELN,0.00024114282910116903
CXCL9,0.00024091937698275613
ADCY9,0.00024054976569141707
LIN7A,0.00024031422405879692
CACNA1B,0.0002402940029821237
CD2,0.00024004831767488564
WNT2B,0.00023979506300653362
BMPR2,0.0002397894210413878
HSPA1A,0.00023958630079425606
GGT1,0.00023910482630905711
IL6R,0.00023902396213048029
CENPM,0.00023897082572381059
HIST1H2BM,0.00023880578707277623
HIST1H4B,0.0002387137279313239
KCNH2,0.00023854687484263504
NBN,0.000238478597960079
TCEB2,0.00023829919726192468
HLA-DRB1,0.00023804891578236312
GABBR2,0.00023796125216205875
MUC7,0.00023785071873344945
MUC15,0.00023785071873344945
MUC21,0.00023785071873344945
CXCL11,0.00023733246220307875
SHCBP1,0.00023725993140092047
FANCD2,0.0002371143816545892
EPHB2,0.00023706221849119436
HDAC4,0.00023678611465107567
PSMA7,0.0002367484537481275
DRD2,0.0002365350584611416
PRKG2,0.00023644003201380703
CXCL1,0.000236428819335313
DISC1,0.000236385466962277
NT5E,0.00023595168065500272
CYP3A5,0.0002359369562703932
ITGB8,0.000235869256925072
HIST4H4,0.00023574302803425844
TRPC1,0.000235714397740741
PIK3CG,0.00023564582301472152
MAOA,0.0002356081356865948
SMO,0.00023551432083689883
KCNAB1,0.00023548933568732263
GSTP1,0.0002354203733924874
PLA2G4A,0.00023530598746421527
STUB1,0.00023485416204716025
ACADS,0.00023470545916042275
FZD4,0.0002346647703418369
