drug,lumb_pathway_overlap_jaccard,n_shared_pathways_lumb
CHEMBL2918,0.044911881750994885,79
CHEMBL2938,0.015349630471859011,27
CHEMBL2940,0.00511654349061967,9
CHEMBL2959,0.003979533826037522,7
CHEMBL2960,0.028993746446844798,51
CHEMBL2963,0.0022740193291642978,4
CHEMBL2964,0.019307211811470756,34
CHEMBL2971,0.03695281409891984,65
CHEMBL2972,0.0022740193291642978,4
CHEMBL2979,0.0028425241614553724,5
CHEMBL3023,0.001135718341851221,2
CHEMBL3024,0.028993746446844798,51
CHEMBL3025,0.0005681818181818182,1
CHEMBL3028,0.0022740193291642978,4
CHEMBL3030,0.028425241614553724,50
CHEMBL3038,0.0011363636363636363,2
CHEMBL3040,0.008527572484366117,15
CHEMBL3043,0.001135718341851221,2
CHEMBL3076,0.0022701475595913734,4
CHEMBL3079,0.0017045454545454545,3
CHEMBL3080,0.00170261066969353,3
CHEMBL3123,0.0017045454545454545,3
CHEMBL3125,0.0028425241614553724,5
CHEMBL3126,0.0034110289937464467,6
CHEMBL3142,0.0056785917092561046,10
CHEMBL3143,0.012443438914027148,22
CHEMBL3155,0.004542873367404884,8
CHEMBL3157,0.0045480386583285955,8
CHEMBL3164,0.027288231949971573,48
CHEMBL3167,0.003409090909090909,6
CHEMBL3191,0.0034071550255536627,6
CHEMBL3201,0.005113636363636364,9
CHEMBL3230,0.003409090909090909,6
CHEMBL3233,0.017045454545454544,30
CHEMBL3240,0.005681818181818182,10
CHEMBL3253,0.01762364980102331,31
CHEMBL3254,0.007348784624081402,13
CHEMBL3256,0.007959067652075043,14
CHEMBL3276,0.006822057987492893,12
CHEMBL3311,0.008527572484366117,15
CHEMBL3351,0.006798866855524079,12
CHEMBL3371,0.003977272727272727,7
CHEMBL3373,0.009096077316657191,16
CHEMBL3379,0.0045377197958026095,8
CHEMBL3409,0.007959067652075043,14
CHEMBL3419,0.003979533826037522,7
CHEMBL3421,0.009659090909090909,17
CHEMBL3429,0.007390562819783968,13
CHEMBL3438,0.010801591813530414,19
CHEMBL3473,0.0045480386583285955,8
CHEMBL3474,0.0033975084937712344,6
CHEMBL3475,0.011363636363636364,20
CHEMBL3477,0.0045480386583285955,8
CHEMBL3478,0.00625,11
CHEMBL3510,0.0005681818181818182,1
CHEMBL3514,0.0017055144968732233,3
CHEMBL3568,0.00511654349061967,9
CHEMBL3572,0.00511654349061967,9
CHEMBL3582,0.009664582148948267,17
CHEMBL3595,0.0062535531552018195,11
CHEMBL3610,0.031836270608300174,56
CHEMBL3636,0.003979533826037522,7
CHEMBL3650,0.0267197271176805,47
CHEMBL3708,0.017593643586833144,31
CHEMBL3710,0.0034071550255536627,6
CHEMBL3721,0.009664582148948267,17
CHEMBL3723,0.013644115974985787,24
CHEMBL3724,0.003977272727272727,7
CHEMBL3727,0.0017055144968732233,3
CHEMBL3764,0.003979533826037522,7
CHEMBL3768,0.007959067652075043,14
CHEMBL3769,0.00625,11
CHEMBL3770,0.001135718341851221,2
CHEMBL3775,0.015918135304150087,28
CHEMBL3816,0.012994350282485875,23
CHEMBL3817,0.01023308698123934,18
CHEMBL3819,0.003977272727272727,7
CHEMBL3841,0.0017055144968732233,3
CHEMBL3856,0.003409090909090909,6
CHEMBL3861,0.003977272727272727,7
CHEMBL3863,0.001135718341851221,2
CHEMBL3892,0.005113636363636364,9
CHEMBL3898,0.0062535531552018195,11
CHEMBL3911,0.0034071550255536627,6
CHEMBL3913,0.007390562819783968,13
CHEMBL3958,0.00511654349061967,9
CHEMBL3961,0.03695281409891984,65
CHEMBL3969,0.0005681818181818182,1
CHEMBL3974,0.00625,11
CHEMBL4018,0.003979533826037522,7
CHEMBL402,0.00625,11
CHEMBL4068,0.00511654349061967,9
CHEMBL4069,0.00511654349061967,9
CHEMBL4071,0.013636363636363636,24
CHEMBL4072,0.011363636363636364,20
CHEMBL4074,0.0017055144968732233,3
CHEMBL4076,0.004540295119182747,8
CHEMBL4121,0.036384309266628764,64
CHEMBL4142,0.02160318362706083,38
CHEMBL4237,0.021022727272727273,37
CHEMBL4271,0.0034110289937464467,6
CHEMBL4273,0.009664582148948267,17
CHEMBL4305,0.0011363636363636363,2
CHEMBL4306,0.002840909090909091,5
CHEMBL4315,0.0056785917092561046,10
CHEMBL4330,0.0073779795686719635,13
CHEMBL4425,0.009659090909090909,17
CHEMBL4429,0.003977272727272727,7
CHEMBL4467,0.0028425241614553724,5
