drug,tnbc_pathway_enrichment_similarity
CHEMBL2102,0.0010271118363223749
CHEMBL2104,0.00049562228037725
CHEMBL2105,0.0005034042877933667
CHEMBL2106,0.0005447224780437083
CHEMBL2107,0.0005064285330861769
CHEMBL2108,0.0006154424994347497
CHEMBL2109,0.0006181585901601126
CHEMBL2114,0.00045877805553723336
CHEMBL2116,0.0005854547061776317
CHEMBL2117,0.0005883226023727696
CHEMBL212,0.0006107669228180973
CHEMBL2120,0.0006789096853410129
CHEMBL2121,0.00044344652713121006
CHEMBL2123,0.00045877805553723336
CHEMBL2127,0.00048572773035618333
CHEMBL213,0.0004341334662183125
CHEMBL2131,0.0006918765597798333
CHEMBL2139,0.00051013868264975
CHEMBL2147,0.0005807668033942071
CHEMBL2148,0.0005458360988118333
CHEMBL215,0.0004390804450272527
CHEMBL2156,0.0004117704698143666
CHEMBL2158,0.0006353365631697001
CHEMBL2159,0.00047338464266976005
CHEMBL216,0.0004387804058935625
CHEMBL2160,0.0004907098910022125
CHEMBL2161,0.0003830509563528834
CHEMBL2164,0.0005583792738946615
CHEMBL2167,0.0007699521215539035
CHEMBL217,0.00041743604156454004
CHEMBL2171,0.000636917565384602
CHEMBL218,0.00045877805553723336
CHEMBL2182,0.0004382029624210143
CHEMBL2184,0.00045851478801091665
CHEMBL2185,0.0005431433789286559
CHEMBL219,0.0004382029624210143
CHEMBL2193,0.0004611052023394444
CHEMBL2194,0.0004158281227606
CHEMBL220,0.0004973643493212
CHEMBL2200,0.0004896944674596833
CHEMBL2202,0.0004285646328928999
CHEMBL2206,0.00042829158338614286
CHEMBL221,0.0004037684441328286
CHEMBL222,0.0005273428119377
CHEMBL223,0.0004381069569378444
CHEMBL224,0.0004570297541719572
CHEMBL2249,0.00041447603458345995
CHEMBL225,0.0004570297541719572
CHEMBL226,0.00045877805553723336
CHEMBL227,0.0005111420649432546
CHEMBL228,0.000442916059714625
CHEMBL229,0.0004381069569378444
CHEMBL230,0.0004098751780631236
CHEMBL231,0.0004570297541719572
CHEMBL232,0.0004381069569378444
CHEMBL2326,0.0004790010121981
CHEMBL2327,0.00046877839906287144
CHEMBL2335,0.00047802978987669995
CHEMBL235,0.0005340271521064934
CHEMBL236,0.0004854328985088181
CHEMBL2360,0.0004700463683604667
CHEMBL237,0.00047387008289517503
CHEMBL238,0.0005136407228561168
CHEMBL2388,0.0005479499638963666
