drug,n_pathways_luma,mean_pathway_score_luma,max_pathway_score_luma,sum_pathway_score_luma,luma_pathway_overlap_jaccard,n_shared_pathways_luma,luma_pathway_enrichment_similarity
CHEMBL1988,3,0.0001553281081002,0.000184378690462,0.0004659843243008,0.0011261261261261,3,0.018499834240471
CHEMBL1989,14,0.0001937660147034,0.0003606036527816,0.0027127242058478,0.0052552552552552,14,0.0549765538250043
CHEMBL1991,82,0.0003194306405247,0.0006445447364388,0.0261933125230299,0.0307807807807807,82,0.2089614687767043
CHEMBL1992,17,0.0002783281615765,0.0004071552565946,0.0047315787468006,0.0063813813813813,17,0.0812259493248664
CHEMBL1993,22,0.0003271967543006,0.0006704401317697,0.0071983285946147,0.0082582582582582,22,0.1137773984725361
CHEMBL1994,12,0.0002474408255556,0.0003566656167356,0.0029692899066673,0.0045045045045045,12,0.0602827727725521
CHEMBL1995,11,0.0001811797000752,0.0003314533200648,0.0019929767008279,0.0041291291291291,11,0.0442889574707925
CHEMBL1996,8,0.0003988269865676,0.0007238556309006,0.0031906158925411,0.003003003003003,8,0.0853682801661615
CHEMBL1997,7,9.479327197943948e-05,0.0001662688169459,0.000663552903856,0.0026276276276276,7,0.0193128761050131
CHEMBL2000,11,0.0001484930197547,0.000229508659917,0.0016334232173025,0.0041291291291291,11,0.0356826743500692
CHEMBL2001,12,0.0002089921237733,0.0004134356417941,0.0025079054852798,0.0045045045045045,12,0.0536911603302732
CHEMBL2002,14,0.0001779998222976,0.0003005515798151,0.0024919975121675,0.0052552552552552,14,0.0475677713304801
CHEMBL2004,7,0.0002370391175766,0.0003406663811548,0.0016592738230362,0.0026276276276276,7,0.0437524302648288
CHEMBL2008,10,0.0002584429685574,0.0003489613086871,0.002584429685574,0.0037537537537537,10,0.0572773467621289
CHEMBL2014,7,0.000180023692056,0.0001987411653855,0.0012601658443923,0.0026276276276276,7,0.0325615010955984
CHEMBL2015,23,0.0003022765857541,0.0005457118906,0.0069523614723448,0.0086336336336336,23,0.1036926549042858
CHEMBL202,11,0.0002099387933705,0.000340289276356,0.0023093267270763,0.0041291291291291,11,0.0513081254955046
CHEMBL2023,15,0.0001906252029124,0.0003005515798151,0.0028593780436871,0.0056306306306306,15,0.0522915211868549
CHEMBL2027,3,8.213782707247748e-05,0.000119883531181,0.0002464134812174,0.0011261261261261,3,0.0102194522155949
CHEMBL203,78,0.0004780494225834,0.0011778278615571,0.0372878549615129,0.0292792792792792,78,0.3283971322236677
CHEMBL2033,13,0.0001506595785373,0.0002419520974736,0.0019585745209853,0.0048798798798798,13,0.0388326635249999
CHEMBL2034,28,0.0002860251777742,0.0004851175952761,0.0080087049776782,0.0105105105105105,28,0.1078535489508307
CHEMBL2035,8,0.0001644690180639,0.0002202894059907,0.0013157521445113,0.003003003003003,8,0.0325327128117695
CHEMBL2039,5,0.0001465816994652,0.0001813703180948,0.0007329084973264,0.0018768768768768,5,0.0225792514783239
CHEMBL2040,2,0.0002797471058422,0.0003299855517675,0.0005594942116845,0.0007507507507507,2,0.0273476235591337
CHEMBL2044,5,0.0001765190590898,0.0002233957848034,0.0008825952954491,0.0018768768768768,5,0.0277384054059864
CHEMBL2045,7,0.0001751822859229,0.0002352317057446,0.0012262760014607,0.0026276276276276,7,0.0325560144241851
CHEMBL2049,8,0.0001711688861991,0.0002202894059907,0.0013693510895935,0.003003003003003,8,0.0337283435145143
CHEMBL205,10,0.0001587697805834,0.0002352317057446,0.0015876978058343,0.0037537537537537,10,0.03631244292602
CHEMBL2050,5,0.000272297719176,0.000373067752967,0.0013614885958803,0.0018768768768768,5,0.0426140559049973
CHEMBL2055,19,0.0002909006928806,0.0005019096843323,0.0055271131647314,0.0071321321321321,19,0.0911043077550149
CHEMBL2056,8,0.0001786075843597,0.0002255186617354,0.0014288606748779,0.003003003003003,8,0.0349798679974492
CHEMBL2057,11,0.0002099387933705,0.000340289276356,0.0023093267270763,0.0041291291291291,11,0.0513081254955046
CHEMBL2059,5,0.0001737161238679,0.0002595792556533,0.0008685806193395,0.0018768768768768,5,0.0276524475621316
CHEMBL206,43,0.0003390680542876,0.0005909430565976,0.0145799263343698,0.0161411411411411,43,0.1583626324195716
CHEMBL2060,20,0.0002238953850558,0.0003316281682354,0.004477907701116,0.0075075075075075,20,0.0709492769353721
CHEMBL2061,65,0.0002703687864169,0.0005019096843323,0.0175739711171046,0.0243993993993993,65,0.1562736672633967
CHEMBL2062,6,0.0001286062144184,0.0001527906561123,0.0007716372865108,0.0022522522522522,6,0.0216079161492873
CHEMBL2063,5,9.517705986649688e-05,0.000129737829465,0.0004758852993324,0.0018768768768768,5,0.0150955975119455
CHEMBL2064,17,0.0002009805256199,0.0002488679233123,0.0034166689355384,0.0063813813813813,17,0.0572733076215698
CHEMBL2066,2,0.000183691370511,0.0002145920849097,0.000367382741022,0.0007507507507507,2,0.0179229572199351
CHEMBL2069,13,0.0002044786423871,0.0004134356417941,0.0026582223510332,0.0048798798798798,13,0.0554906414488187
CHEMBL207,48,0.0003677211970867,0.0008322266909606,0.0176506174601637,0.018018018018018,48,0.1856691405118169
CHEMBL2070,96,0.0001904562879009,0.0003744821742586,0.0182838036384941,0.036036036036036,96,0.1329222492579435
CHEMBL2071,11,0.0001807150209831,0.0002874682894838,0.0019878652308148,0.0041291291291291,11,0.0427965670360481
CHEMBL2074,6,0.0001486217584068,0.0001816104504855,0.0008917305504409,0.0022522522522522,6,0.025074422055633
