drug,luma_pathway_enrichment_similarity
CHEMBL3863,0.014265896198261954
CHEMBL3892,0.060442740836133095
CHEMBL3898,0.04150705647640834
CHEMBL3911,0.031723676418421366
CHEMBL3913,0.04495235192152408
CHEMBL3958,0.04226214886966428
CHEMBL3961,0.18555707220286677
CHEMBL3969,0.009983101939848948
CHEMBL3974,0.051808311512383846
CHEMBL4018,0.032561501095598425
CHEMBL402,0.04413703016468823
CHEMBL4068,0.058194357324115244
CHEMBL4069,0.039559946165758655
CHEMBL4071,0.07964837849245987
CHEMBL4072,0.07608394215384776
CHEMBL4074,0.021098995121998573
CHEMBL4076,0.03148474452413815
CHEMBL4121,0.17604205689554658
CHEMBL4142,0.16836811999520843
CHEMBL4237,0.12430055557206166
CHEMBL4271,0.032728873841103796
CHEMBL4273,0.06173279372937865
CHEMBL4305,0.018068542286231948
CHEMBL4306,0.025639774356608424
CHEMBL4315,0.057122309148229564
CHEMBL4330,0.06135585985138415
CHEMBL4425,0.07039450301723998
CHEMBL4429,0.03481248407155795
CHEMBL4467,0.029560733216146873
CHEMBL4469,0.028409324833251263
CHEMBL4478,0.02158555451554522
CHEMBL4549,0.10243980613335629
CHEMBL4550,0.024057376094175933
CHEMBL4551,0.05363518131687312
CHEMBL4573,0.029385448357424463
CHEMBL4589,0.018670153516728308
CHEMBL4605,0.015034600651232875
CHEMBL4607,0.032561501095598425
CHEMBL4608,0.04823671457816314
CHEMBL4617,0.019066806608058234
CHEMBL4633,0.01890962125727716
CHEMBL4708,0.020448441030493966
CHEMBL4712,0.03697375323075553
CHEMBL4714,0.031994659385259784
CHEMBL4715,0.035481303457187016
CHEMBL4716,0.027271841573286333
CHEMBL4744,0.0627970339283295
CHEMBL4761,0.05673805905573279
CHEMBL4763,0.16279325337668807
CHEMBL4770,0.021680715972271683
CHEMBL4777,0.032561501095598425
CHEMBL4790,0.04142596939754754
CHEMBL4794,0.016996813015566284
CHEMBL4805,0.06809530404580616
CHEMBL4808,0.030299244995703162
CHEMBL4811,0.018214696603619268
CHEMBL4812,0.02148662310882112
CHEMBL4813,0.03883266352499995
CHEMBL4815,0.03481248407155795
CHEMBL4816,0.23767997044054595
CHEMBL4820,0.03129383557518451
CHEMBL4829,0.037199016704048404
CHEMBL4832,0.06740888590441776
CHEMBL4833,0.01492102214198925
CHEMBL4834,0.019626450108806093
CHEMBL4835,0.01798454577408325
CHEMBL4863,0.02712775981796333
CHEMBL4865,0.05025963625661408
CHEMBL4866,0.04495139956598045
CHEMBL4867,0.035483601979424295
CHEMBL4868,0.021098995121998573
CHEMBL4869,0.041262567793587154
CHEMBL4872,0.0207594593425119
CHEMBL4873,0.028490174278803085
