drug_chembl_id,rw_mean_LumB,rw_max_LumB
CHEMBL3958,0.0001050928224826,0.0001050928224826
CHEMBL3961,0.0005570582344958,0.0005570582344958
CHEMBL3969,2.0108633643207224e-05,2.0108633643207224e-05
CHEMBL3974,0.000228837906182,0.000228837906182
CHEMBL4018,5.59785407518272e-05,5.59785407518272e-05
CHEMBL402,0.0001835757068356,0.0001835757068356
CHEMBL4068,0.0001033525013317,0.0001033525013317
CHEMBL4069,9.377418524370427e-05,9.377418524370427e-05
CHEMBL4071,0.0002096130012258,0.0002096130012258
CHEMBL4072,0.0001403204308277,0.0001403204308277
CHEMBL4074,0.0001204965333531,0.0001204965333531
CHEMBL4076,6.231410701548161e-05,6.231410701548161e-05
CHEMBL4121,0.000423675887028,0.000423675887028
CHEMBL4142,0.0003854125396231,0.0003854125396231
CHEMBL4237,5.8224114520651056e-05,5.8224114520651056e-05
CHEMBL4271,0.0001621277450599,0.0001621277450599
CHEMBL4273,0.0002788195046868,0.0002788195046868
CHEMBL4305,0.0001677283120308,0.0001677283120308
CHEMBL4306,0.0001318140088759,0.0001318140088759
CHEMBL4315,5.613326527804454e-05,5.613326527804454e-05
CHEMBL4330,7.140132562556678e-05,7.140132562556678e-05
CHEMBL4425,0.0001696495812738,0.0001696495812738
CHEMBL4429,2.9316503307401377e-05,2.9316503307401377e-05
CHEMBL4467,1.9553536933696686e-05,1.9553536933696686e-05
CHEMBL4469,8.458402227982234e-05,8.458402227982234e-05
CHEMBL4478,0.0001874118643095,0.0001874118643095
CHEMBL4549,0.0004206037963967,0.0004206037963967
CHEMBL4550,2.777319116110906e-05,2.777319116110906e-05
CHEMBL4551,0.0001322618052026,0.0001322618052026
CHEMBL4573,8.481695686106152e-05,8.481695686106152e-05
CHEMBL4589,0.0001970477140317,0.0001970477140317
CHEMBL4605,0.0001218658902378,0.0001218658902378
CHEMBL4607,0.0001471602853413,0.0001471602853413
CHEMBL4608,2.884742854168811e-05,2.884742854168811e-05
CHEMBL4617,2.999005873200264e-05,2.999005873200264e-05
CHEMBL4633,0.0001280783439189,0.0001280783439189
CHEMBL4708,0.0001045202594446,0.0001045202594446
CHEMBL4712,9.012925461231102e-05,9.012925461231102e-05
CHEMBL4714,3.0222651637589303e-05,3.0222651637589303e-05
CHEMBL4715,0.0001276039494054,0.0001276039494054
CHEMBL4716,0.0001058128752695,0.0001058128752695
CHEMBL4744,0.0001057116540846,0.0001057116540846
CHEMBL4761,6.90922119886373e-05,6.90922119886373e-05
CHEMBL4762,0.0003452446120591,0.0003452446120591
