gene,log2FC,pvalue,FDR
KCNH6,1.1074011998613882,3.41104312975547e-11,7.396214185936727e-11
CORIN,1.380158368708309,3.410750120757265e-11,7.396214185936727e-11
AGTR1,-1.7287529974876543,3.449882923065971e-11,7.478649380560899e-11
IGFBPL1,1.1105275275058482,3.606154102093989e-11,7.813691598668834e-11
ESRRB,-1.011942099107684,3.786929123142097e-11,8.195633198021115e-11
NCCRP1,-1.6623619856189906,3.804532697336335e-11,8.230794947660245e-11
CYP3A5,-1.012871424239799,3.882348279768462e-11,8.394154381354711e-11
ULBP1,1.2291858528978596,3.912102898536301e-11,8.455474835200225e-11
VANGL2,-1.1564630468682324,3.947721017916552e-11,8.527395952193544e-11
SOX2,1.685029771289959,4.013864238724614e-11,8.666157126972382e-11
STON1-GTF2A1L,-1.596428857316122,4.1422888030074275e-11,8.931779564219878e-11
FXYD3,1.0560374815905718,4.146064705241948e-11,8.937803864225388e-11
MGST1,-1.2339489820670515,4.219922610932505e-11,9.092714404214534e-11
UNC13A,1.3914522654422594,4.2427922371976464e-11,9.138746549959621e-11
GREB1,1.156166915013431,4.3739523122102326e-11,9.413461094722495e-11
LCN12,1.13215658407693,4.514287257114426e-11,9.712040059242868e-11
NPW,1.395118439747033,4.8549220572705404e-11,1.0426397617802695e-10
TH,1.2148958762886597,4.906275159155466e-11,1.0532955150619997e-10
SIGLEC11,-1.0791255003032147,4.9665893423899965e-11,1.0661182287679847e-10
FBN3,-1.3494759507926886,5.6177322846488396e-11,1.2041872441999863e-10
DLGAP1,-1.4686460105691777,5.626932540494687e-11,1.2060173441024936e-10
NECAB2,-1.0384620072771376,5.993852032212862e-11,1.2829972782498912e-10
ERMN,1.1589282378930958,6.20228430149867e-11,1.3266766291443043e-10
BOP1,1.1696312483756381,6.997455326372429e-11,1.4929649879488802e-10
PSG4,-1.696594992636229,7.277303831289473e-11,1.5515198130822474e-10
VEPH1,-1.139820380317075,7.386113459095189e-11,1.5737963630564174e-10
ADCYAP1,-1.4261351338473536,7.82943815495641e-11,1.665917740907908e-10
EPO,1.1848700511132286,8.086290015227594e-11,1.7193638260388726e-10
LOC400759,-1.0307579355453522,8.17387238605217e-11,1.7375802761100976e-10
FCRLB,1.100202594646107,8.191206196057291e-11,1.741061728010636e-10
WNT7B,1.289138828727368,8.257303097880641e-11,1.7547010073630786e-10
YBX2,1.127538204972712,8.721206424118603e-11,1.8511208085148197e-10
CBLN2,1.9963568353114454,9.486808159944244e-11,2.0110442405434386e-10
KLK2,-1.6355518366109325,9.616735990291504e-11,2.0376375885377285e-10
PCDHAC1,-1.0561562332149368,1.0012789927759524e-10,2.118596013658103e-10
SNORD116-28,-1.0250518322793036,1.01280317017247e-10,2.1427308352684183e-10
RIMKLA,1.0672010915706514,1.0143547813815726e-10,2.145764100579752e-10
ECM1,1.3042563761587083,1.0503953374717903e-10,2.220971811824718e-10
PNLIPRP3,-1.4793717274538685,1.0595322566239026e-10,2.24003085567072e-10
HYDIN,-1.1083970198388648,1.1292138162581316e-10,2.3834739213064434e-10
MUC1,1.3824589014987456,1.2064011469149054e-10,2.5399167334365053e-10
SLC38A4,-1.1952034436454984,1.2288001162937552e-10,2.586476470501298e-10
CXADR,-1.3129637442605917,1.2333883001527042e-10,2.595533783546783e-10
LGALS2,-1.3040554491899847,1.2677367004178477e-10,2.666583216744405e-10
MYRIP,-1.0699755479511381,1.3224767540882734e-10,2.778193231929468e-10
GABRB3,-1.6485200424499702,1.3299161318264747e-10,2.79349911696715e-10
SDR42E1,-1.2747211253573587,1.389309485434645e-10,2.917245422005634e-10
GNAO1,-1.1146822706402144,1.4462141110405987e-10,3.033233720851713e-10
ZNF98,-1.2570968075890145,1.517547620397899e-10,3.1795487263009847e-10
MT1A,-1.4056093173351822,1.64163968506944e-10,3.4348008261286227e-10
ZBED2,1.2761687819457683,1.662492846772316e-10,3.476833328331396e-10
LMX1B,1.010186554621848,1.6623518811158891e-10,3.476833328331396e-10
C4BPB,-1.3319593086719226,1.7231246536260402e-10,3.602807037669976e-10
OPRK1,-1.0348005457853247,1.811691480439123e-10,3.784075733612548e-10
ONECUT2,1.6167019578965607,1.8521892376816566e-10,3.867332036421105e-10
DNAI1,1.2837919345057625,1.9151157654429544e-10,3.997345749152402e-10
NETO1,1.2012536255739408,1.9543457004890137e-10,4.078761154093272e-10
GNG3,1.0252405137312655,2.0065752522909364e-10,4.1863254232036577e-10
SLAMF8,1.0348317508446687,2.145607045173436e-10,4.47075149305083e-10
C8orf4,-1.087227900025992,2.1543729091232726e-10,4.488502926035359e-10
JPH1,1.0241300311877328,2.3748275063965204e-10,4.937633934772799e-10
APOBEC3A,1.149901026596205,2.387594308068684e-10,4.963611145474448e-10
XG,-1.3328566707095222,2.528572845918639e-10,5.249499488396098e-10
TRPM8,-1.0510948237026774,2.678016000127998e-10,5.552155495481771e-10
EGOT,-1.1149393095382476,2.854754437602791e-10,5.907809803056344e-10
CCL19,-1.688711119293079,3.1225503631235645e-10,6.453932583165464e-10
SYT3,-1.0023646149181336,3.4434288695789934e-10,7.095396843213315e-10
HS6ST2,-1.3902340812613705,3.6300483714196147e-10,7.471480156597834e-10
ETV4,-1.2012228839989616,3.629685857595114e-10,7.471480156597834e-10
ATP2C2,1.1696766221952695,3.883869601710256e-10,7.981268724309301e-10
VSIG4,-1.0365047734557775,4.0317050752523547e-10,8.278525378998151e-10
PLD4,-1.0323629385774922,4.51787683005409e-10,9.248640568766825e-10
MNX1,1.3603968379104219,4.880446102547935e-10,9.979640575677383e-10
FAM135B,1.4784287836784196,4.883563483797843e-10,9.98489341745166e-10
ALAS2,-1.1710641297756215,5.412733337138987e-10,1.1049454405735221e-09
CSAG3,1.2588335224811575,5.45603915835511e-10,1.1136609194834948e-09
CHRNB2,-1.471483020012129,5.52034849611162e-10,1.1264085155780722e-09
KIAA0125,-1.3181073767651386,5.73174484362664e-10,1.1687571568111989e-09
KLHL35,1.040545962921252,5.856237493087259e-10,1.1932067504663912e-09
FUT9,-1.5328516850038993,5.985737993796286e-10,1.2189102662610337e-09
POF1B,-1.606620579572036,6.392861217750045e-10,1.299198981206923e-09
COL9A3,-1.2357559776487905,6.606327833425801e-10,1.3415326366783785e-09
C10orf81,-1.6621113445378146,6.715972209329046e-10,1.3631895866014343e-09
CDK5R2,1.0951961924976177,6.737832301149232e-10,1.367474204234803e-09
MUC2,1.7347561335874557,6.788240823811659e-10,1.3772441787320956e-09
PRAME,2.4215614788183317,7.270901446612492e-10,1.4725436029448954e-09
C20orf114,1.7016492549597144,7.412785746854307e-10,1.5007778773216433e-09
C12orf53,-1.2841949060036382,7.597341834113476e-10,1.5367753462203313e-09
LY6K,-1.3450814476306006,8.009775484017534e-10,1.6180439810850201e-09
SNORD116-4,-1.3308372606774665,8.787981889752464e-10,1.7717093181876631e-09
SELE,-1.5243028112275834,8.867187234560332e-10,1.786885965135633e-09
KRT1,-1.00888113575327,9.771241241276633e-10,1.9658035401741662e-09
ABCC2,-1.0721531664212076,9.879324407467057e-10,1.9871087534709704e-09
PRODH,-1.522938586156112,1.0048245891621453e-09,2.0200173570453853e-09
CXCL9,1.5707135709954088,1.012191255169967e-09,2.034553601795374e-09
PXDNL,1.5168074763926187,1.0242249664648983e-09,2.058060168292366e-09
C1orf150,-1.022323356146582,1.024485081798348e-09,2.058355622955334e-09
LY6H,1.0876058563631634,1.0966304749446814e-09,2.2001503951744775e-09
TNNC2,-1.0235269687256343,1.1081478659689642e-09,2.222277801501934e-09
LOC255167,-1.2122849302607634,1.1974821988230136e-09,2.3987860091532205e-09
XIRP1,1.2933091180802223,1.1988057856347284e-09,2.400908979635709e-09
PVALB,2.053206588408559,1.2130255476555236e-09,2.4288531563055214e-09
APOC1,1.0111388027375927,1.2883283740755495e-09,2.5762321644839315e-09
CBLN1,-1.2420789829333803,1.3289579435120497e-09,2.654561773921852e-09
CD1E,-1.073631560252967,1.3981910400363794e-09,2.7904036291834462e-09
XIST,-1.1978477302261101,1.423452956065971e-09,2.8398853747554655e-09
MMP10,1.5999214588928359,1.4318302096424596e-09,2.8559725297087107e-09
MIA2,-1.1492558390366456,1.4681254123579331e-09,2.9267645253697796e-09
KIF5A,-1.3680767738023047,1.4858888926274773e-09,2.9615280315885217e-09
CHST1,1.1252476739149273,1.5924420942591355e-09,3.1683488295768984e-09
LRP2,-1.9291053235727276,1.6366002020072094e-09,3.2526513240678274e-09
MEGF10,-1.2429371827081361,1.794973183354154e-09,3.5604115567827902e-09
C20orf85,1.0925861387854112,1.8546448752352955e-09,3.6759691489446956e-09
ADAM32,-1.148551390453088,1.9002005999002833e-09,3.7642128109679896e-09
GLYATL3,1.2700019319067832,2.01102187629304e-09,3.982011445030155e-09
TMPRSS3,-1.55744045308845,2.0741514379394237e-09,4.103888980957753e-09
FCRL5,-1.4160458113142163,2.357566292750743e-09,4.652512925730895e-09
ITGA8,-1.1524647751884265,2.9825159304431385e-09,5.85976659275299e-09
GFRA1,1.2931188122671795,3.0068422328155563e-09,5.905011237883437e-09
KCNE4,1.184131122758382,3.120211809933374e-09,6.120389609506164e-09
ATP6V0D2,1.39987357272806,3.1340825100948377e-09,6.146935021146033e-09
CYP1A1,-1.6718504894741408,3.147815277951193e-09,6.172539211951477e-09
PRSS21,-1.5573653512951569,3.179146740693062e-09,6.230621029375087e-09
ZP2,-1.0778253703543275,3.2210173089790047e-09,6.308605344883239e-09
