drug,n_pathways_luma,mean_pathway_score_luma,max_pathway_score_luma,sum_pathway_score_luma
CHEMBL2438,3,0.058966148767198696,0.1097527112367198,0.1768984463015961
CHEMBL2439,4,0.04443742162917415,0.1097527112367198,0.1777496865166966
CHEMBL244,5,0.058634347943036055,0.1262818772289532,0.2931717397151803
CHEMBL2441,3,0.023097153746898264,0.0605095401637408,0.0692914612406948
CHEMBL2442,11,0.030305884055172327,0.1537842052477922,0.3333647246068956
CHEMBL2443,6,0.025297395366867533,0.0978185915307112,0.1517843722012052
CHEMBL2447,2,0.02278563423495435,0.0451741251076365,0.0455712684699087
CHEMBL245,10,0.03496365672955433,0.1537842052477922,0.3496365672955433
CHEMBL2457,4,0.0167465796442241,0.0451741251076365,0.0669863185768964
CHEMBL246,6,0.045540954622685016,0.1537842052477922,0.2732457277361101
CHEMBL2465,2,0.02278563423495435,0.0451741251076365,0.0455712684699087
CHEMBL2468,3,0.007672913117277966,0.0119355972037564,0.0230187393518339
CHEMBL2469,2,0.02278563423495435,0.0451741251076365,0.0455712684699087
CHEMBL2476,7,0.031581771640105144,0.0978185915307112,0.221072401480736
CHEMBL248,17,0.02500243528950392,0.1537842052477922,0.42504139992156664
CHEMBL2484,3,0.02228898155616127,0.0229847162537001,0.06686694466848381
CHEMBL2487,66,0.02193844742123719,0.1537842052477922,1.4479375298016546
CHEMBL249,11,0.03137606110291263,0.1537842052477922,0.3451366721320389
CHEMBL2490,6,0.046801030309560454,0.1537842052477922,0.2808061818573627
CHEMBL2492,3,0.02228898155616127,0.0229847162537001,0.06686694466848381
CHEMBL2493,6,0.01675123099779757,0.0229847162537001,0.10050738598678541
CHEMBL2494,33,0.025994414066839507,0.1537842052477922,0.8578156642057038
CHEMBL2498,137,0.02223360491843512,0.1537842052477922,3.0460038738256117
CHEMBL250,14,0.04553758868016217,0.1537842052477922,0.6375262415222703
CHEMBL2502,4,0.0167465796442241,0.0451741251076365,0.0669863185768964
CHEMBL2503,2,0.0233447458543179,0.0451741251076365,0.0466894917086358
CHEMBL2506,156,0.020460436035680346,0.1537842052477922,3.191828021566134
CHEMBL2508,28,0.02457267939122198,0.1262818772289532,0.6880350229542154
CHEMBL251,12,0.03765468627282332,0.1537842052477922,0.4518562352738798
CHEMBL2514,7,0.0414232286742356,0.1537842052477922,0.2899626007196492
CHEMBL2517,3,0.05627868469864897,0.1097527112367198,0.1688360540959469
CHEMBL252,7,0.0414232286742356,0.1537842052477922,0.2899626007196492
CHEMBL2524,5,0.048274542332084544,0.1097527112367198,0.2413727116604227
CHEMBL2527,24,0.021468878279448236,0.086774286801405,0.5152530787067576
CHEMBL253,6,0.04662086121228543,0.1537842052477922,0.2797251672737126
CHEMBL2531,4,0.016307877438940025,0.058212054098014,0.0652315097557601
CHEMBL2534,75,0.0288554885739141,0.1537842052477922,2.1641616430435575
CHEMBL2536,16,0.032225241398247444,0.1537842052477922,0.5156038623719591
CHEMBL254,7,0.040143050536533886,0.1537842052477922,0.2810013537557372
CHEMBL255,14,0.04327728101104685,0.1537842052477922,0.605881934154656
CHEMBL2552,7,0.026964337751236914,0.0978185915307112,0.1887503642586584
CHEMBL2553,50,0.027449166650731365,0.1537842052477922,1.3724583325365682
CHEMBL2559,5,0.01460367184804702,0.0605095401637408,0.0730183592402351
CHEMBL256,6,0.04662086121228543,0.1537842052477922,0.2797251672737126
CHEMBL2575,10,0.01624973646713344,0.0451741251076365,0.1624973646713344
CHEMBL258,53,0.03025988622257694,0.1537842052477922,1.6037739697965778
CHEMBL2581,17,0.03891335854589618,0.1537842052477922,0.661527095280235
CHEMBL2582,62,0.016304661359351012,0.086774286801405,1.0108890042797627
CHEMBL259,10,0.04037913189831485,0.1537842052477922,0.4037913189831485
CHEMBL2595,2,0.0322371326794133,0.0451741251076365,0.0644742653588266
CHEMBL2597,72,0.022794734854049092,0.1537842052477922,1.6412209094915347
CHEMBL2599,47,0.027147833253412537,0.1537842052477922,1.2759481629103893
CHEMBL2600,18,0.025002140412882394,0.1537842052477922,0.4500385274318831
CHEMBL2608,10,0.03705707983113664,0.1262818772289532,0.3705707983113664
CHEMBL2609,2,0.02554675603832635,0.0451741251076365,0.0510935120766527
CHEMBL2626,12,0.028245370595953775,0.1262818772289532,0.3389444471514453
CHEMBL2632,28,0.026950608434634118,0.1262818772289532,0.7546170361697553
CHEMBL2634,35,0.03459729308912999,0.1537842052477922,1.2109052581195496
CHEMBL264,4,0.0551754671899669,0.1537842052477922,0.2207018687598676
CHEMBL2641,3,0.03367674558872253,0.0978185915307112,0.1010302367661676
CHEMBL2650,17,0.02494891724763589,0.1537842052477922,0.4241315932098101
