protein1,protein2,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining,combined_score,gene1,gene2
9606.ENSP00000272317,9606.ENSP00000296277,0,0,0,813,787,0,53,958,RPS27A,RPL39L
9606.ENSP00000272317,9606.ENSP00000307940,0,0,0,473,988,0,261,994,RPS27A,EEF2
9606.ENSP00000272317,9606.ENSP00000261601,0,0,0,199,928,0,237,952,RPS27A,USP14
9606.ENSP00000272317,9606.ENSP00000209728,0,0,0,76,352,600,59,744,RPS27A,CDC6
9606.ENSP00000272317,9606.ENSP00000445831,0,0,0,74,218,900,107,926,RPS27A,HIST2H2BF
9606.ENSP00000272317,9606.ENSP00000355656,0,0,0,52,456,900,49,944,RPS27A,HIST3H2A
9606.ENSP00000272317,9606.ENSP00000397798,0,0,0,820,980,0,185,996,RPS27A,RPL17
9606.ENSP00000272317,9606.ENSP00000398048,0,0,0,0,0,900,0,900,RPS27A,ALPK1
9606.ENSP00000272317,9606.ENSP00000479606,0,0,0,65,59,600,252,701,RPS27A,CLTC
9606.ENSP00000272317,9606.ENSP00000357196,0,0,0,0,57,900,62,903,RPS27A,PTPRK
9606.ENSP00000272317,9606.ENSP00000346037,0,0,0,973,995,0,267,999,RPS27A,RPLP1
9606.ENSP00000272317,9606.ENSP00000261712,0,0,0,340,906,900,240,994,RPS27A,PSMD11
9606.ENSP00000272317,9606.ENSP00000356489,0,0,0,62,77,900,0,905,RPS27A,EPM2A
9606.ENSP00000272317,9606.ENSP00000287598,0,0,0,69,270,600,0,704,RPS27A,BUB1B
9606.ENSP00000272317,9606.ENSP00000341268,0,0,0,49,147,900,53,912,RPS27A,TRADD
9606.ENSP00000272317,9606.ENSP00000295822,0,37,0,494,343,0,189,706,RPS27A,EIF5A2
9606.ENSP00000272317,9606.ENSP00000340608,0,0,0,0,57,900,96,907,RPS27A,SGK2
9606.ENSP00000272317,9606.ENSP00000225430,0,0,0,982,995,0,247,999,RPS27A,RPL19
9606.ENSP00000272317,9606.ENSP00000332973,0,0,0,0,281,600,73,710,RPS27A,SMAD3
9606.ENSP00000272317,9606.ENSP00000478187,0,0,0,49,0,900,47,901,RPS27A,CRY2
9606.ENSP00000272317,9606.ENSP00000263464,0,0,0,0,455,600,0,772,RPS27A,BIRC3
9606.ENSP00000272317,9606.ENSP00000263253,0,0,0,0,353,600,118,751,RPS27A,EP300
9606.ENSP00000272317,9606.ENSP00000374455,0,0,0,0,780,800,200,961,RPS27A,SQSTM1
9606.ENSP00000272317,9606.ENSP00000341885,0,0,0,941,996,900,520,999,RPS27A,RPS2
9606.ENSP00000272317,9606.ENSP00000367545,0,0,0,0,619,900,0,960,RPS27A,TP73
9606.ENSP00000272317,9606.ENSP00000335153,0,0,0,247,179,600,172,768,RPS27A,HSP90AA1
9606.ENSP00000272317,9606.ENSP00000475814,0,0,0,59,823,0,296,872,RPS27A,HIST2H2AA3
9606.ENSP00000272317,9606.ENSP00000420321,0,0,0,0,0,900,0,900,RPS27A,ROBO1
9606.ENSP00000272317,9606.ENSP00000377640,0,0,0,982,995,0,287,999,RPS27A,RPL24
9606.ENSP00000272317,9606.ENSP00000384849,0,0,0,0,702,600,113,884,RPS27A,CDKN1A
9606.ENSP00000272317,9606.ENSP00000366565,0,0,0,0,288,600,96,720,RPS27A,VPS28
9606.ENSP00000272317,9606.ENSP00000228843,0,0,0,76,0,900,57,905,RPS27A,RAD51AP1
9606.ENSP00000272317,9606.ENSP00000382800,0,0,0,0,0,900,46,900,RPS27A,RUNX3
9606.ENSP00000272317,9606.ENSP00000284440,0,0,0,66,947,600,347,985,RPS27A,UCHL1
9606.ENSP00000272317,9606.ENSP00000346001,0,0,0,958,956,0,435,998,RPS27A,RPL3
9606.ENSP00000272317,9606.ENSP00000355315,0,0,0,980,988,0,277,999,RPS27A,RPL39
9606.ENSP00000272317,9606.ENSP00000275015,0,0,0,70,144,900,62,915,RPS27A,NFKBIE
9606.ENSP00000272317,9606.ENSP00000221801,0,0,0,374,559,0,180,753,RPS27A,FBL
9606.ENSP00000272317,9606.ENSP00000418082,0,0,0,978,995,0,272,999,RPS27A,RPL37A
9606.ENSP00000272317,9606.ENSP00000360266,0,0,0,0,689,0,193,737,RPS27A,JUN
9606.ENSP00000272317,9606.ENSP00000363308,0,0,0,809,792,0,107,961,RPS27A,WDR31
9606.ENSP00000272317,9606.ENSP00000290649,0,0,0,0,895,900,165,990,RPS27A,AMFR
9606.ENSP00000272317,9606.ENSP00000342235,0,0,0,0,298,600,0,707,RPS27A,ERBB4
9606.ENSP00000272317,9606.ENSP00000351214,0,0,0,791,0,0,235,833,RPS27A,TOMM7
9606.ENSP00000272317,9606.ENSP00000307889,0,0,0,956,988,0,155,999,RPS27A,RPL13
9606.ENSP00000272317,9606.ENSP00000323889,0,0,0,0,854,600,127,944,RPS27A,TRIM25
9606.ENSP00000272317,9606.ENSP00000443017,0,0,0,62,825,0,139,846,RPS27A,HIST4H4
9606.ENSP00000272317,9606.ENSP00000427793,0,0,0,59,590,600,101,842,RPS27A,WWP1
9606.ENSP00000272317,9606.ENSP00000380921,0,0,0,0,933,600,48,972,RPS27A,SH3KBP1
9606.ENSP00000272317,9606.ENSP00000332194,0,0,0,52,151,900,296,935,RPS27A,HIST2H2AC
9606.ENSP00000272317,9606.ENSP00000276659,0,0,0,49,60,900,48,903,RPS27A,RSPO2
9606.ENSP00000272317,9606.ENSP00000368411,0,0,0,0,66,900,0,902,RPS27A,SCNN1D
9606.ENSP00000272317,9606.ENSP00000331019,0,0,0,828,789,600,381,989,RPS27A,RPS27L
9606.ENSP00000272317,9606.ENSP00000290541,0,0,0,268,906,900,165,993,RPS27A,PSMB4
9606.ENSP00000272317,9606.ENSP00000372088,0,0,0,60,88,900,85,911,RPS27A,RAD51
