drug,n_pathways_luma,mean_pathway_score_luma,max_pathway_score_luma,sum_pathway_score_luma,n_pathways_lumb,mean_pathway_score_lumb,max_pathway_score_lumb,sum_pathway_score_lumb,n_pathways_her2,mean_pathway_score_her2,max_pathway_score_her2,sum_pathway_score_her2,n_pathways_tnbc,mean_pathway_score_tnbc,max_pathway_score_tnbc,sum_pathway_score_tnbc
CHEMBL1913,15,0.0526405539372879,0.1537842052477922,0.7896083090593186,15,0.0005930786237095,0.0007409815052308,0.008896179355643,15,0.0005938987110909,0.0007539562719295,0.0089084806663639,15,0.0005867428516183,0.0007432413772932,0.0088011427742758
CHEMBL1914,10,0.0189601297479784,0.0605095401637408,0.189601297479784,10,0.0005067663884477,0.0006561894395572,0.0050676638844774,10,0.0004914883447234,0.0006371887289965,0.004914883447234,10,0.0004992064543826,0.0006389875419489,0.0049920645438268
CHEMBL1916,15,0.0343905062139155,0.1537842052477922,0.5158575932087335,17,0.0004755684428596,0.0006835733294709,0.0080846635286141,17,0.000467258466074,0.000645716654579,0.0079433939232584,17,0.0004665848920284,0.0006648524079466,0.0079319431644831
CHEMBL1919,5,0.0254090986019643,0.0600752921190352,0.1270454930098215,5,0.0005324399943305,0.0006217043042468,0.0026621999716526,5,0.0005276461567067,0.0006094101430068,0.0026382307835335,5,0.0005264456176676,0.0006001416908039,0.002632228088338
CHEMBL1920,7,0.0456136279988029,0.1537842052477922,0.3192953959916209,7,0.0005363741571541,0.0008492473242828,0.0037546191000793,7,0.0005376888263197,0.0008384884579006,0.0037638217842384,7,0.0005305850386252,0.0008031264859969,0.0037140952703765
CHEMBL1925,7,0.0389683573269708,0.1537842052477922,0.2727785012887956,7,0.0004800104208872,0.0005444404172623,0.0033600729462104,7,0.0004752676931828,0.0005393420828279,0.0033268738522799,7,0.0004814657360703,0.0005491911751487,0.0033702601524926
CHEMBL1927,24,0.0301006545840162,0.1262818772289532,0.7224157100163897,25,0.0006288299533826,0.0013951846487226,0.015720748834566,25,0.0006202867039873,0.0013523210653637,0.0155071675996826,25,0.0006197445946052,0.0013370010511974,0.0154936148651313
CHEMBL1929,6,0.0360589161258271,0.1097527112367198,0.2163534967549629,7,0.0004583154945514,0.0005549961824303,0.0032082084618599,7,0.000454271051857,0.0005375849566791,0.0031798973629995,6,0.0004860761275116,0.0005479474365246,0.0029164567650701
CHEMBL1935,9,0.0194748550965977,0.0605095401637408,0.1752736958693793,9,0.0004881254414145,0.0007600670673291,0.0043931289727311,9,0.0004785477017304,0.000722902125727,0.0043069293155737,9,0.0004795806335384,0.0007375955243429,0.0043162257018461
CHEMBL1936,42,0.030068131624738,0.1537842052477922,1.2628615282389968,42,0.0005989043624714,0.0008819777062999,0.0251539832238026,42,0.000593571426166,0.0008750483985329,0.024929999898972,42,0.0005838372509067,0.0008521465137426,0.024521164538084
CHEMBL1940,13,0.0218349771832699,0.0978185915307112,0.2838547033825096,13,0.000494455087247,0.0007040228762591,0.0064279161342113,13,0.0004915210288524,0.0007276162350441,0.0063897733750814,13,0.0005001022572169,0.000795557959329,0.0065013293438203
CHEMBL1941,6,0.045540954622685,0.1537842052477922,0.2732457277361101,7,0.0004599947884337,0.0005444404172623,0.003219963519036,7,0.0004527179455859,0.0005393420828279,0.0031690256191016,7,0.0004506568414634,0.0005491911751487,0.0031545978902442
CHEMBL1942,10,0.0385214076442515,0.1537842052477922,0.3852140764425158,12,0.000473741433959,0.0006835733294709,0.0056848972075088,12,0.0004659724860568,0.000645716654579,0.0055916698326824,12,0.000462602071522,0.0006648524079466,0.0055512248582642
